,company name,affiliation,former ID,industry type,city,state,address / directions,Phone #,Full Reporting Number,Reporting Mark,Reporting Number,locomotive serial number,locomotive model,Manufactured Date(MM/YY),Acquisition Date,HP,Cross Match
776,Mittal Steel USA,,(formerly ISG  â€“  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],,,,30641.0,SW1200,Sep-65,,1200.0,Not Matched
777,Mittal Steel USA,,(formerly ISG  â€“  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],,,,23452.0,SW900,May-59,1982.0,900.0,Not Matched
778,Mittal Steel USA,,(formerly ISG  â€“  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],,,,23455.0,SW900,Jun-59,1982.0,900.0,Not Matched
779,Mittal Steel USA,,(formerly ISG  â€“  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],,,,23456.0,SW900,Jun-59,1982.0,900.0,Not Matched
780,Mittal Steel USA,,(formerly ISG  â€“  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],,,,23459.0,SW900,Aug-59,1982.0,900.0,Not Matched
781,Mittal Steel USA,,(formerly ISG  â€“  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],,,,23460.0,SW900,Oct-59,1982.0,900.0,Not Matched
782,Mittal Steel USA,,(formerly ISG  â€“  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],,,,23463.0,SW900,Nov-59,1982.0,900.0,Not Matched
783,Mittal Steel USA,,(formerly ISG  â€“  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],,,,24978.0,SW900,-58,,900.0,Not Matched
784,Mittal Steel USA,,(formerly ISG  â€“  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],,,,,SW1200,-54,,1200.0,Not Matched
785,Steel Dynamics Inc.,,,steel coils,Butler,,"4500  CR 59, 46721     (~3 mi. SW of ...)", [(219) 868-8000],,,,20990.0,GP9,Mar-56,,1750.0,Not Matched
786,Gavion Grain,,(formerly ConAgra Inc.),,Carlisle,,,,,,,35354.0,GE 50ton EC,Dec-64,,,Not Matched
787,Duke Energy  -  Cayuga Power Station ,, (formerly Cinergy),,Cayuga,,"SR 63 N       (P.O. Box 188, 47928)              ", [(317) 492-3301],,,,34026.0,SW1000,Jun-69,,1000.0,Not Matched
788,Mid America Rail Storage,,,,Charleston,,,,SSRX 1281,SSRX,1281,19514.0,SW600,Mar-54,,600.0,Not Matched
789,DTE Services,,,(railcar repair),Clinton,,,,,,,28370.0,GE 45ton,Jan-47,,,Not Matched
790,Eli Lilly,,,,,,"SR 63, 47842     ", [(317) 832-4400],,,,,SW900,-54,,900.0,Not Matched
791,Andersons (The)       ,,,(grain),,,"3324 County Rd. 300 S, 46947    ", [(219) 722-2626],Pioneer Railcorp 905,Railcorp,Railcorp 905,11241.0,GP9,Feb-51,,1750.0,Not Matched
792,Nucor Steel â€“ Indiana,,,,Crawfordsville,,"400 East 400 South /NucorRd.        (Rural Route 2, Box 311, 47933 )    (S/E of...)        ",[(765) 364-1323],,,,19488.0,SW1200,Feb-54,1988.0,1200.0,Not Matched
793,Nucor Steel â€“ Indiana,,,,Crawfordsville,,"400 East 400 South /NucorRd.        (Rural Route 2, Box 311, 47933 )    (S/E of...)        ",[(765) 364-1323],,,,22908.0,SW1200,Mar-57,1988.0,1200.0,Not Matched
794,Nucor Steel â€“ Indiana,,,,Crawfordsville,,"400 East 400 South /NucorRd.        (Rural Route 2, Box 311, 47933 )    (S/E of...)        ",[(765) 364-1323],,,,19539.0,SW1200,Aug-54,,1200.0,Not Matched
795,Nucor Steel â€“ Indiana,,,,Crawfordsville,,"400 East 400 South /NucorRd.        (Rural Route 2, Box 311, 47933 )    (S/E of...)        ",[(765) 364-1323],,,,33794.0,SW1500,Mar-68,2013.0,1500.0,Not Matched
796,"Cargill, Inc",,,,Dana,,"225 East Briarwood Ave.,  47847                 ",  [(765) 665-3326],,,,25369.0,SD24d,Aug-59,2016.0,,Not Matched
797,"Bunge North America (East), Inc.",(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101],,,,32845.0,GE 35ton,Mar-57,1971.0,,Not Matched
798,"Bunge North America (East), Inc.",(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101],,,,33112.0,GE 35ton,Feb-58,1976.0,,Not Matched
799,"Bunge North America (East), Inc.",(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101],,,,,NW2,-49,1982.0,1000.0,Not Matched
800,"Bunge North America (East), Inc.",(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101],ILSX 920,ILSX,920,13706.0,SW1,Dec-50,2008.0,600.0,Not Matched
801,"Bunge North America (East), Inc.",(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101],ILSX 934,ILSX,934,,SW1200RS,-56,,1200.0,Not Matched
802,"Bunge North America (East), Inc.",(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101],RLIX 1528,RLIX,1528,35590.0,SW1500,,2021.0,1500.0,Reporting Match
803,Andersons  (The)   ,,, (grain),Delphi,,"    (P.O. Box 338, 46923)     ",  [(317) 564-6133],,,,,Plymouth 35ton MDT,Feb-54,,,Not Matched
804,Andersons  (The)   ,,, (grain),Delphi,,"    (P.O. Box 338, 46923)     ",  [(317) 564-6133],,,,,Plymouth MDT,May-64,,,Not Matched
805,Andersons (The)  â€“  Redkey Grain Div.        ,,(formerly Indiana Grain Co-Op / Indiana Farm Bureau Co-Op),,Dunkirk,,"4678 S 1100 W & W 500 S, 47336     ", [(765) 768-7530],,,,30841.0,GE 70ton,-51,,,Not Matched
806,CF Rail Services,,(formerly Hoosier Railcar ),,East Chicago,,"3915 Kennedy Ave. , 46312    (Michigan & Kennedy)                                ",[(219) 397-0057],,,,,Plymouth 35ton MHD,Sep-79,,,Not Matched
807,CF Rail Services,,(formerly Hoosier Railcar ),,East Chicago,,"3915 Kennedy Ave. , 46312    (Michigan & Kennedy)                                ",[(219) 397-0057],,,,31681.0,GE 25ton,Aug-52,1990.0,,Not Matched
808,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,,,,32587.0,SW1000,Dec-66,,1000.0,Not Matched
809,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,,,,75632.0,SW1001,Dec-75,,1000.0,Not Matched
810,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,,,,71605.0,SW1500,Jan-73,,1500.0,Not Matched
811,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,,,,71605.0,SW1500,Jan-73,,1500.0,Not Matched
812,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,,,,30487.0,SW1200,Jun-65,,1200.0,Not Matched
813,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,,,,30488.0,SW1200,Jun-65,,1200.0,Not Matched
814,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,,,,30489.0,SW1200,Jun-65,,1200.0,Not Matched
815,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,,,,17816.0,SW9,Apr-53,,1200.0,Not Matched
816,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,,,,10769.0,SW7,-50,,1200.0,Not Matched
817,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,,,,,GE 65ton,,,,Not Matched
818,Cleveland Cliffs,,(formerly ArcelorMittal Steel),,,,,,,,,18295.0,SW8,Dec-53,,800.0,Not Matched
819,Cleveland Cliffs,,(formerly ArcelorMittal Steel),,,,,,,,,74627.0,SW1001,Oct-74,,1000.0,Not Matched
820,Cleveland Cliffs,,(formerly ArcelorMittal Steel),,,,,,,,,74627.0,SW1001,Nov-74,,1000.0,Not Matched
821,Cleveland Cliffs,,(formerly ArcelorMittal Steel),,,,,,,,,33213.0,SW1000,Jul-67,,1000.0,Not Matched
822,Cleveland Cliffs,,(formerly ArcelorMittal Steel),,,,,,,,,35041.0,SW1000,May-69,,1000.0,Not Matched
823,Cleveland Cliffs,,(formerly ArcelorMittal Steel),,,,,,,,,35042.0,SW1000,May-69,,1000.0,Not Matched
824,Indiana Harbor Coke Co.       ,(j/v Sun Oil Co. & Nipsco)  ,,(coke / cogeneration plant),,,,,,,,15253.0,GE 45ton,May-42,1998.0,,Not Matched
825,Indiana Harbor Coke Co.       ,(j/v Sun Oil Co. & Nipsco)  ,,(coke / cogeneration plant),,,,,,,,31306.0,GE 45ton,Apr-52,,,Not Matched
826,"Lakeshore Railcar Services, LLC",(subs. Patriot Rail),"(forermly United Rail Service, inc.)",,,,"1150 E 145th St., 46312",(219) 398-7777,,,,32844.0,GE 35ton,Mar-57,,,Not Matched
827,"Lakeshore Railcar Services, LLC",(subs. Patriot Rail),"(forermly United Rail Service, inc.)",,,,"1150 E 145th St., 46312",(219) 398-7777,,,,30783.0,GE 45ton,Dec-50,,,Not Matched
828,"Lakeshore Railcar Services, LLC",(subs. Patriot Rail),"(forermly United Rail Service, inc.)",,,,"1150 E 145th St., 46312",(219) 398-7777,,,,,GE 45ton,,,,Not Matched
829,Northern Indiana Dock      ,(subs. Cozzi Iron & Metal)   ,(formerly operated by M.S. Kaplan Co.),(scrap),,,3600 Canal  46312   , [(219) 398-1444],,,,,NW2,Oct-47,,1000.0,Not Matched
830,Duke Energy  -  Gibson Generating  Station,, (formerly Cinergy),,East Mt. Carmel,,,,,,,29374.0,GE 65ton,Jun-48,,,Not Matched
831,EMP Co-Op Inc.,,,,Edgerton,,,,,,,13140.0,GE 45ton,Jul-41,,,Not Matched
832,ADM / Gromark - First Avenue,,(formerly Johnson Terminal),,,,Ulhorn & 1st Ave.  47708       ,       [(812) 422-1513],,,,,Plymouth 20ton JGT,Aug-50,,,Not Matched
833,OmniSource Corp. - Plant #2       ,,(formerly Levine & Sons Scrap Brokers),(scrap yard),,,3101 Maumee Ave. 46803,,GLSX 384,GLSX,384,,SW1,Dec-41,,600.0,Not Matched
834,Archer Daniels Midland      ,,(formerly A. E. Staley Manufacturing)  ,soy processing,Frankfort,,"  2191 W CR 0 N       (P.O. Box 249, 46041)                  ", (317) 654-8426,,,,,Plymouth 45ton MDT,Dec-67,,,Not Matched
835,Archer Daniels Midland      ,,(formerly A. E. Staley Manufacturing)  ,soy processing,Frankfort,,"  2191 W CR 0 N       (P.O. Box 249, 46041)                  ", (317) 654-8426,MDLX 285,MDLX,285,30512.0,SW1200,Jul-65,2023.0,1200.0,Not Matched
836,AMG Resources,,(formerly Vulcan Materials),,Gary,,"459 Cline Ave., 46406    ",   [(219) 949-8150],,,,41185.0,GE 85ton,Jun-81,2010.0,,Not Matched
837,Central Illinois Steel,,,steel distributor,,,"50 N Bridge St., 46404",(219) 882-1027  ,,,,,SW8/900 [Ex USS - Gary Works #47,,,,Not Matched
838,Katoen Natie Midwest,,,bulk transloading),,,700 Chase St.            ,      [(219) 949-2620],RLCX 1617,RLCX,1617,19182.0,GP9,Mar-54,1999.0,1750.0,Not Matched
839,"Tube City, Inc.  ",,,(scrap),,,1 North Broadway   (inside USS - Gary Works)       , [(219) 881-0144),LOCX 44,LOCX,44,,SW1200,,,1200.0,Reporting Match
840,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,,,24577.0,SW900,Apr-58,,900.0,Not Matched
841,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,,,24578.0,SW900,Apr-58,,900.0,Not Matched
842,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],2nd,,,24731.0,SW900,Jun-58,,900.0,Not Matched
843,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,,,14282.0,SW8,Jun-51,1976.0,800.0,Not Matched
844,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],3rd,,,13513.0,SW8,Dec-50,,800.0,Not Matched
845,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],2nd,,,,SW1,Jan-41,1967.0,600.0,Not Matched
846,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],3rd,,,23362.0,SW1200,May-57,,1200.0,Not Matched
847,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],2nd,,,23986.0,SW900,Dec-57,,900.0,Not Matched
848,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],2nd,,,13857.0,SW8,Feb-51,1982.0,800.0,Not Matched
849,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],2nd,,,13859.0,SW8,Mar-51,,800.0,Not Matched
850,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],2nd,,,25446.0,SW900,Aug-59,1984.0,900.0,Not Matched
851,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],2nd,,,16691.0,SW8,Mar-52,1984.0,800.0,Not Matched
852,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,,,14665.0,SW8,Sep-51,1977.0,800.0,Not Matched
853,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,,,18866.0,SW8,Nov-53,1981.0,800.0,Not Matched
854,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,,,20633.0,SW900,Aug-55,,900.0,Not Matched
855,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,,,35992.0,SW1001,Mar-70,,1000.0,Not Matched
856,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,,,35993.0,SW1001,Mar-70,,1000.0,Not Matched
857,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,,,36878.0,SW1001,Jan-71,,1000.0,Not Matched
858,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,,,,NW2m,Nov-47,2001.0,,Not Matched
859,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,,,,NW2m,Jan-49,,,Not Matched
860,United States Steel  â€“  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,,,24732.0,SW900,Jun-58,,900.0,Not Matched
861,OmniSource Corp.,,,scrap yard,Goshen,,"812 Logan St., 46528",   (574) 534-3435,Morris Leasing 14,Leasing,Leasing 14,34903.0,GE 50ton,Sep-63,,,Not Matched
862,Starke County Co-Op,,,grain,Hamlet,,"4 Plymouth St. (Old US 30), 46532",  (574) 867-2411,,,,20685.0,GP7,Sep-55,2003.0,1500.0,Not Matched
863,Buckeye Terminal,,,oil terminal,Hammond,,"2400 Michigan St., 46320",  (219) 989-8600,SVGX 204,SVGX,204,30743.0,SW1200,Oct-65,,1200.0,Reporting Match
864,"Cargill, Inc.",,"(formrely Cerestar USA, Inc.)",(starch),,,"1100 Indianapolis Blvd., Hammond, Indiana, 46320,",,RSSX 1503,RSSX,1503,20416.0,SW1200,-55,,1200.0,Reporting Match
865,George Pfau's Sons Inc.,,,(rendering),Jeffersonville,,"800 Wall Street    (P. O. Box 7, 47131)     ", [(812) 283-6697],,,,,Brookville BFA,Feb-43,,,Not Matched
866,George Pfau's Sons Inc.,,,(rendering),Jeffersonville,,"800 Wall Street    (P. O. Box 7, 47131)     ", [(812) 283-6697],,,,,Plymouth DDT Nee Hoosier Ordnance Works,,,,Not Matched
867,Kokomo Grain,,,,Kokomo,,1002 W. Morgan St.,(765) 457-7211,,,,15156.0,GE 45ton,Feb-42,,,Not Matched
868,Kokomo Grain,,,,Kokomo,,1002 W. Morgan St.,(765) 457-7211,,,,15861.0,GE 45ton,Sep-42,1985.0,,Not Matched
869,Gavilon Grain - Haw Creek,,(formerly Peavy Co.),(grain elevator),Ladoga,,11477 CR 550 E,(765) 522-1944,,,,,SW7,-50,,1200.0,Not Matched
870,Eli Lilly Pharmaceutical Co.,,,,,,"1650 Lilly Rd.,  47905 ",   [(317) 477-4300],,,,,NW2,-49,,1000.0,Not Matched
871,"Transco Service, Inc.",,,,Logansport,,"Woodlawn &18th    (P. O. Box 706,  46947)    ", [(219) 753-6226],,,,28657.0,GE 65ton,Apr-47,,,Not Matched
872,Hoosier Energy Rural Electric Cooperative Inc.,,,,Merom,,"Hy 54 W.      (on E. shore Turtle Lake reservoir, 3 mi. E. of ...)   (head office: 7398 N  SR 37, Bloomington, In., 47404)",,,,,41113.0,GE 125ton,Mar-80,,,Not Matched
873,Northern Indiana Public Service Co. (NIPSCO)  â€“  Michigan City Station,,,,Michigan City,,Wabash St.,,,,,24950.0,GP9,-58,,1750.0,Not Matched
874,Northern Indiana Public Service Co. (NIPSCO)  â€“  Michigan City Station,,,,Michigan City,,Wabash St.,,,,,18103.0,SW1,May-53,,600.0,Not Matched
875,Cargill,,,grain elevator,Milford,,"13795 N 100 E, 46542  ", (574) 658-3327,,,,18683.0,SD9,Nov-53,,1750.0,Not Matched
876,Lehigh Portland Cement,,,cement terminal,Mitchell,,"121 N. 1st Street     (P.O. Box 97, 47446)      ",  [(812) 849-2191],,,,33931.0,GE 45ton,Mar-61,,,Not Matched
877,"Bunge North America, Inc.",(subs. Eridania Berghin-say),"( formerly Central Soya Co., Inc.)",,Morristown,,"700 N. Range Line Rd., 46161                          ", [ (765) 763-7500],,,,,NRE 1GS7B,,,,Not Matched
878,"Morristown Grain Co., Inc.",,,,,,"120 East Broadway,  46161                ",  [(765) 763-1215],,,,14066.0,SW8m,Aug-51,,,Not Matched
879,ADM,,"(formerly Cargill, Inc.)",,Mount Vernon,,"1000 Old Hwy 69 S, 47620    ", [(812) 838-4303],,,,30005.0,SW1200,-65,,1200.0,Not Matched
880,Consolidated Grain & Barge,  (j/v Zen-Noh & Itochu),,,,,"Southwind Marine Centre, 47620  ",  [(812) 838-6651],,,,14417.0,GP7,Jul-51,,1500.0,Not Matched
881,"Southwind Marine Centre / Indiana Port Commission     ""Southwind Shortline RR""",,,,,,"1700 Bluff Rd., 47620     ",  [(812) 838-4382],,,,15022.0,SW8,May-51,,800.0,Not Matched
882,Progress Rail,,,locomotive shop,Muncie,,"3500 S Cowan Rd., 47302",,PRLX 2200,PRLX,2200,35061.0,SW1500,Feb-71,,1500.0,Reporting Match
883,Duke Energy  -  Robert A. Gallagher Plant     ,, (formerly Cinergy),,New Albany,,,,,,,32527.0,GE 80ton,Apr-56,,,Not Matched
884,Cleveland Cliffs Tek & Cote,,(formerly I/NTek),(rolling mills)   ,New Carlisle,,"30755 Edison Rd., 46552      ", [(219) 654-1000],,,,,SW1001,Apr-76,,1000.0,Not Matched
885,Cleveland Cliffs Tek & Cote,,(formerly I/NTek),(rolling mills)   ,New Carlisle,,"30755 Edison Rd., 46552      ", [(219) 654-1000],,,,,SW1001,Apr-76,,1000.0,Not Matched
886,Cleveland Cliffs Tek & Cote,,(formerly I/NTek),(rolling mills)   ,New Carlisle,,"30755 Edison Rd., 46552      ", [(219) 654-1000],,,,24974.0,SW900,-58,1993.0,900.0,Not Matched
887,Viterra,,(formerly Gavilon),grain elevator,,,"54300 Walnut Road, 46552   ",   [(219) 654-3116],,,,31372.0,GE 80ton,Oct-52,,,Not Matched
888,Casad Industrial Center,,,,New Haven,,"15202 Edgerton Road, 46774              ", [(219) 493-4447],,,,,Plymouth 35ton ML,Feb-43,,,Not Matched
889,Buzzi Unicem,,(Formerly Lone Star ),(cement terminal),Osceola,,"55284 Corwin, 46561          (w. of Elkhart, off US 20)             ", [(219) 674-8873],,,,15856.0,GE 25ton,Oct-46,,,Not Matched
890,Indianapolis Power & Light Co. / Ipalco    -  Petersburg Generating Plant,(subs. AES Corp.),,,Petersburg,," (office: 25 Monument Circle, Indianapolis, In.)",,,,,,SW1001,Mar-82,,1000.0,Not Matched
891,Steel Dynamics,,(formerly Qualitech Steel),,Pittsboro,,    (W. of...),,,,,15129.0,SW9,Aug-51,2003.0,1200.0,Not Matched
892,Steel Dynamics,,(formerly Qualitech Steel),,Pittsboro,,    (W. of...),,,,,20074.0,SW9,Nov-54,,1200.0,Not Matched
893,"Frick Services, Inc.     ",,,(fertilizer transloading),Portage,,         (at Port of Indiana)      , [(219) 787-9475],NIWX 629,NIWX,629,,RS18,Aug-66,2017.0,,Not Matched
894,Indiana Pickling & Processing,,,,,,"6650 Nautical Dr, 46368  (in Port of Indiana area)     ", [(219) 787-8889],,,,,SW1,Nov-39,,600.0,Not Matched
895,Indiana Port Commission / Port of Indiana,,,,,,,,,,,89033.0,,,,,Not Matched
896,Indiana Port Commission / Port of Indiana,,,,,,,,,,,69257.0,HH600,,,600.0,Not Matched
897,United States Steel - Midwest Plant              ,,(formerly National Steel Corp. â€“  Midwest Steel Div.),,,,"6300 US12, 46368                         ",     [(219) 762-3131],,,,18101.0,SW1,May-53,,600.0,Not Matched
898,United States Steel - Midwest Plant              ,,(formerly National Steel Corp. â€“  Midwest Steel Div.),,,,"6300 US12, 46368                         ",     [(219) 762-3131],,,,,SW1,Mar-41,,600.0,Not Matched
899,United States Steel - Midwest Plant              ,,(formerly National Steel Corp. â€“  Midwest Steel Div.),,,,"6300 US12, 46368                         ",     [(219) 762-3131],,,,,NW2,Nov-47,2016.0,1000.0,Not Matched
900,Consolidated Grain & Barge,,,,,,,,FLSX 71,FLSX,71,17082.0,GP7,Dec-52,,1500.0,Reporting Match
901,"West Plains Mining, LLC",,,limestone,Rich Valley,,"6181 US 24 Business, 46992",,,,,,GP38-2,Mar-72,2016.0,2000.0,Not Matched
902,"West Plains Mining, LLC",,,limestone,Rich Valley,,"6181 US 24 Business, 46992",,,,,,SD70MAC,Nov-94,2020.0,4150.0,Not Matched
903,Gavilon,,(formerly Peavey / ConAgra),,Roachdale,,"3237 E. SR 236, 46172        (E of...)   ", (765) 522-1944 or (888) 867-8265,,,,19763.0,GP9,Nov-54,2004.0,1750.0,Not Matched
904,Co-Alliance LLP,,(formerly IMPACT Co-Op),(grain),Scircleville,,"16S CR 1100 E  (Frankfort, In 46041)",,,,,,SW7,Feb-50,,1200.0,Not Matched
905,"ARS / Appalachian Railcar Services, LLC",(subs. Cathcart),,,Shelburn,,"8317 N US 150 / 41, 47879(between Farmersburg & Shelburn)",(812) 397-1250,,,,,GE,,,,Not Matched
906,Shideler Grain Co. Inc.,,,,Shideler,,"2330 E. Ashcroft St., Eaton, 47338            ", [(765) 282-6226],,,,27520.0,GE 65ton,-44,1994.0,,Not Matched
907,Stewart Grain,,,,"""Stewart"" (siding)",,"8217 W 300 N  (Williamsport, 47993)  (near N 800 W, ~9 m NW of Williamsport)   ",(765) 986-2254,,,,60228.0,Whitcomb 45ton,Dec-42,2012.0,,Not Matched
908,Black Beauty Coal    ,,(formerly B & LS Contracting),(coal loading) ,Switz City,,      CR 475E            (2 miles E. of...),,,,,,S2,,,,Not Matched
909,GATX,,,,Terre Haute,,"4400 Maple Ave., 47804",(812) 232-2682,,,,,SW8,May-53,2001.0,800.0,Not Matched
910,GATX,,,,Terre Haute,,"4400 Maple Ave., 47804",(812) 232-2682,GMTX 729,GMTX,729,,NW2,Nov-40,2024.0,1000.0,Not Matched
911,Gavilon,,(formerly Graham Grain Co.),,,,"200 E. Vorhees St., 47802    ",  [(812) 232-1044],,,,,SW1,Dec-41,,600.0,Not Matched
912,"Cargill, Inc.",,,,,,"500 E. State St. (E SR 28), 46072                  ",  [(765) 675-7581],,,,,SW1,Nov-41,,600.0,Not Matched
913,The Andersons ,,(formerly Erny's Fertilizer),,Walton,,"8086 CR 900 S, (Galveston, In.) 46932   (2 mi S. of...)        [(219)699-6575]",,,,,,Plymouth CR-8 [,Nov-89,,,Not Matched
914,DTE Rail,,,(railcar repair),Wheatfield,,(at NIPSCO - Schaefer Station),,,,,,Plymouth 20ton JDT,Jul-62,,,Not Matched
915,BP Amoco  ,,(formerly Amoco),,Whiting,,"2815 Indianapolis Blvd., 46394   ", [(219) 473-7700],GMTX 299,GMTX,299,,MP15,Nov-79,2021.0,,Not Matched
916,Farmway Co-Op,,,,Glen Elder,,Mill St.,,,,,29721.0,GP35,Feb-65,,2500.0,Not Matched
917,Arkalon Energy,,,ethanol,Liberal / Arkalon,,"8664 Road P, 67901     (~5 mi. NE of..., off US 54)",(620) 624-8088,,,,,SW1,Feb-39,,600.0,Not Matched
918,Great Plains Industrial Park,,,industrial park / car storage,Parsons,,23050 Scott Rd. (on former Ks. Army Ammunition Plant site)  (S/W of Parsons),(620) 421-1228,PRLX 1213,PRLX,1213,20065.0,SW1200,Oct-54,,1200.0,Reporting Match
919,Scoular Grain,,,ethanol,Pratt,,10333 SE 30th St  (a.k.a Sidell Rd)   (4 mi. N of...),,,,,25658.0,SD24d,-60,,,Not Matched
920,Flint Hills Grain,(j/v Gavilon Group & Ks Coop AgMark),(formerly De Bruce Grain Inc.),,Abilene,Ks.,"513 West 1st St.,  67410                ", [(785) 263-7275],TLSX 8738,TLSX,8738,22296.0,GP9,Jan-57,,1750.0,Not Matched
921,"Inter-Rail Transport of Kansas City, LLC",,,contract switching ,Argentine / Kansas City,,"301 S 51st St, K.C., 66106    (serves BNSF  Automotive Yard and adjacent warehouses)",(913) 551-4556,IRTX 7053,IRTX,7053,,GP9,Jan-57,2013.0,1750.0,Not Matched
922,"Inter-Rail Transport of Kansas City, LLC",,,contract switching ,Argentine / Kansas City,,"301 S 51st St, K.C., 66106    (serves BNSF  Automotive Yard and adjacent warehouses)",(913) 551-4556,IRTX Gen 2,Gen,Gen 2,,S2,,2016.0,,Not Matched
923,Farmway Coop inc.,,(formerly Hansen Mueller),grain elevator,Belleville,,"1220 O St., 66935    ",[(785) 527-5013],,,,18355.0,SW8,-53,,800.0,Not Matched
