company name,affiliation,former ID,industry type,city,state,address / directions,Phone #,Full Reporting Number,Reporting Mark,Reporting Number,locomotive serial number,locomotive model,Manufactured Date(MM/YY),Acquisition Date,HP
Rayonier,,,paper mill,Jesup,,"4470  Savannah Hwy., 31545      ",  [(912) 427-5000],RJ Corman 1607,Corman,Corman 1607,13906,GP7,Feb-51,,1500
Rayonier,,,paper mill,Jesup,,"4470  Savannah Hwy., 31545      ",  [(912) 427-5000],RJ Corman 1608,Corman,Corman 1608,13949,GP7,Aug-51,,1500
Transportation Services Inc.,,,,,,  (@ Georgia Power  - Plant Scherer ),,,,,61134,Whitcomb 65ton,Sep-50,1995,
Transportation Services Inc.,,,,,,  (@ Georgia Power  - Plant Scherer ),,,,,21171,SW1200,Feb-56,,1200
Junction City Mining Co.  â€“  Heath Quarry,,,,Junction City / Talbotton,,"2158 Packinghouse Rd       (between Junction City & Talbotton, off US 90)   (P.O. Box 616, 31827)",(7076) 665-2764,,,,31539,SD40,Apr-66,2021,3000
"Inter-Rail Transport, Inc. / TDSI â€“ CSX auto terminal",,,(auto tranfer),Lawrenceville,,"  1490 Winder Hwy, Dacula, 30019         (E of..., near airport)                 ", [(770) 513-9702,LTEX 1106,LTEX,1106,35944,SW1500,-70,2024,1500
Martin Marietta Materials   ,,, (aggregates),Martinez / (Dan Station),,"    (P.O. Box 204476, Augusta, Ga., 30917)      [(706) 860-1707]",,,,,40078,U23-B,May-75,,
Transflo Terminal / Southern States Landfill,,, (landfill),Mauk   (Charing),,"207 W. CR 33, 30158",,LSI 252,LSI,252,10755,SW7,-50,,1200
Transflo Terminal / Southern States Landfill,,, (landfill),Mauk   (Charing),,"207 W. CR 33, 30158",,LSI 140,LSI,140,13135,SW9,Feb-51,,1200
Transflo Terminal / Southern States Landfill,,, (landfill),Mauk   (Charing),,"207 W. CR 33, 30158",,LSI 2489,LSI,2489,,SW1500,Nov-72,,1500
International Paper,,(formerly Weyerhaeuser - Flint River Operations),,Oglethorpe,,"Stagecoach Road,  31068   ", [(912) 472-2527],Rail-Link 336,Link,336,,SW1500,-72,,1500
International Paper,,(formerly Weyerhaeuser Co.),pulp mill,Port Wentworth,,1 Bonny Bridge Rd.,,,,,,Republic RTX 500,Apr-97,,
International Paper,,(formerly Weyerhaeuser Co.),pulp mill,Port Wentworth,,1 Bonny Bridge Rd.,,PWFX 102,PWFX,102,24155,SW1200,-57,,1200
International Paper,,(formerly Weyerhaeuser Co.),pulp mill,Port Wentworth,,1 Bonny Bridge Rd.,,PWFX 1355,PWFX,1355,,SW1200RS,-59,,1200
Savannah Industrial Transportation,,,,Rincon / Savannah,,McCall Rd.,,OMLX 459,OMLX,459,20464,GP9,Jul-55,2020,1750
Savannah Industrial Transportation,,,,Rincon / Savannah,,McCall Rd.,,OMLX 517,OMLX,517,24508,GP9,Mar-58,2020,1750
"Colonial Chemical Solutions, Inc.",,,chemical transload,,,400 Telfair Rd.,,,,,,NW2 [,Sep-47,,
Colonial Terminals Inc.,,,,,,"101 N. Lathrop Ave., 31401              ",    [(912) 236-1331],,,,,NW2,Apr-48,,1000
Colonial Terminals Inc.,,,,,,"101 N. Lathrop Ave., 31401              ",    [(912) 236-1331],,,,11714,SW9,Apr-52,,1200
Colonial Terminals Inc.,,,,,,"101 N. Lathrop Ave., 31401              ",    [(912) 236-1331],,,,,MP15,May-82,,
Georgia Kaolin Terminals,,,,,,Foundation Rd.,,,,,,NW2,Mar-48,,1000
Georgia Kaolin Terminals,,,,,,Foundation Rd.,,PWFX #099,,#099,,NW2,Nov-49,,1000
Standridge Color Corp.,,,,Social Circle,,"832 E. Hightower Trail (SR 229), 30279     ", [(770) 464-3362],,,,,SW1,Oct-46,1996,600
Vulcan Materials,,,rock quarry,Sparta,,Rock Quarry Rd     14674 SR 16 / Augusta Hwy.,(706) 417-0002,LTEX 1561,LTEX,1561,33770,SW1500,Feb-68,2024,1500
Georgia Power Co.  â€“  Plant Bowen, (subs. Southern Co.),,,Stilesboro,,Euharlee-Stilesboro Rd.,,,,,31003,GE 45ton,May-51,,
Georgia Power Co.  â€“  Plant Bowen, (subs. Southern Co.),,,Stilesboro,,Euharlee-Stilesboro Rd.,,,,,33839,GE 100ton,Sep-60,,
Georgia Power Co.  â€“  Plant Bowen, (subs. Southern Co.),,,Stilesboro,,Euharlee-Stilesboro Rd.,,MBCX 306,MBCX,306,,SW1500 Nee SP.,,,
AITX / American Industrial Transport,,(formerly American Railcar Ind.),,Tennille,,"754 Joiner Rd.      (P.O. Box 68, 31089-0068)         ",      [(478) 552-0370],,,,,GE 45ton,,,
Archer-Daniels-Midland     ,,"(formerly Gold-Kist, Inc.)",,Valdosta,,"1841 Clay Road, 31601",,,,,16417,SW9m,May-52,,
Archer-Daniels-Midland     ,,"(formerly Gold-Kist, Inc.)",,Valdosta,,"1841 Clay Road, 31601",,,,,16407,SW9m,May-52,,
Union Tank Car,,,,,,400 S. Blanchard St.     , [(912) 244-4125],,,,12227,SW1,Apr-40,1987,600
Union Tank Car,,,,,,400 S. Blanchard St.     , [(912) 244-4125],,,,12575,SW900M,Jun-57,,
Union Tank Car,,,,,,400 S. Blanchard St.     , [(912) 244-4125],,,,11594,GP7,-50,1997,1500
Union Tank Car,,,,,,400 S. Blanchard St.     , [(912) 244-4125],,,,17979,GP7,Apr-53,,1500
Reeves Construction Co.,,,gravel transload,Vienna,,"441 Richwood Rd.  (CR 174), 31092     (~2 m S of...)",(229) 268-9125,,,,31854,GE 80ton,Apr-53,,
Southern Power  -  Plant Wansley  ,(subs. Southern Co. ),Formerly Georgia Power Co.),,Wansley  (Lowell),,"    (4 mi. S of Lowell)       (SR  5, (Roopville), 30170)",,MBCX 303,MBCX,303,30026,SW1200,Jan-65,,1200
GATX  ,,,  (railcar shop),,,2610 Industrial Blvd. 31501     , [(912) 287-8160],,,,46574,Whitcomb 65ton,Jun-48,,
GATX  ,,,  (railcar shop),,,2610 Industrial Blvd. 31501     , [(912) 287-8160],,,,,GE 25ton Ex Kustom Kar,,,
GATX  ,,,  (railcar shop),,,2610 Industrial Blvd. 31501     , [(912) 287-8160],,,,39043,GE 65ton,Nov-76,,
Trinty Rail Car,,,,,,"2425 Industrial Blvd., 31503    ",  [(912) 283-3679],LSI 8,LSI,8,,SW1,Jun-49,,600
US Rail,,,tank car service,,,310 W Blackshear Ave.,(912) 218-8135,,,,32527,GE 25ton,Mar-56,2016,
Georgia Power Co.  â€“  Plant Yates,(subs. Southern Co.),,,Whitesburg,,"708 Dyer Road    (off US 27, S. of...)",,,,,37435,SW1500,Aug-71,,1500
KaMin LLC,,(formerly J. M. Huber Corp.),kaolin mine,Wrens,,"2069 Howard Mill Rd., Wrens 30833    (N of...)     ",[(706) 547-2551],,,,,Plymouth 15ton DDT,Jul-66,,
KaMin LLC,,(formerly J. M. Huber Corp.),kaolin mine,Wrens,,"2069 Howard Mill Rd., Wrens 30833    (N of...)     ",[(706) 547-2551],EACH 1128,EACH,1128,,SW1500,Nov-72,2020,1500
Barlett & Co.,(subs. Savage Enterprises),, (grain),Council Bluffs,,"1000 Ave. G, 51503                 ",  [(712) 322-3444],,,,,NW2,Oct-49,,1000
Alter Trading Corp.,,(formerly Behr),scrap,Emery,,,,,,,,GE Ex Behr,,,
Ag Processing Inc.,,,,Mason City,,"1605 19th St SW, 50401",(641) 423-4733,,,,13053,GE 45ton,,,
New Cooperative Inc.,,,,Vincent,,1st St.,,,,,25299,GP9,-59,,1750
New Cooperative Inc.,,,,Vincent,,1st St.,,,,,,NW2,-49,,1000
Albert City Elevator / Ag Partners LLC,,,,Albert City,,"30 Main St, 50510                         ",   [(712) 843 2291],,,,23547,GP9,,,1750
Innovative Ag Services,,(formerly Prairieland Co-Op),,Alden,,,,,,,,SW1200RS,-56,2003,1200
Innovative Ag Services,,(formerly Prairieland Co-Op),,Alden,,,,,,,25303,GP9,-59,,1750
"Cargill, Inc. / Ag Partners",,,,Alta,,"13 N. Main St., 51002    ",  [(712) 284-1011],,,,12446,GP7,Sep-50,2000,1500
Midwest Farmers Cooperative Co.,,,,Alton,,"    Hwy 60, 51003     ",  [(712) 737-8555],,,,17827,GP7,Feb-53,1998,1500
Barilla America Inc.   ,,,(food proccessing),Ames,,"3311 East Lincoln Way, 50010                              ",  [(515) 956-4400],MWLX 14,MWLX,14,,SW1,Jun-46,,600
"Midwest Bulk Service, Inc.",(subs. Garvey Int.) ,(formerly Central States Warehouse),,Armour  (Waterloo),,"638 N. Elk Run Rd., 50703     ", [(319) 233-5273],,,,,SW1,Aug-42,,600
"Midwest Bulk Service, Inc.",(subs. Garvey Int.) ,(formerly Central States Warehouse),,Armour  (Waterloo),,"638 N. Elk Run Rd., 50703     ", [(319) 233-5273],,,,15748,SW9,Jan-52,1995,1200
Watco Terminal & Ports Services,,"(formerly Midwest Bulk Service, Inc.)",,,,"638 N. Elk Run Rd., 50703     ", [(319) 233-5273],WAMX 1217,WAMX,1217,22910,SW1200,Mar-57,2018,1200
Heartland Co-Op Elevator,,(formerly Avon Grain),,Avon,,,,,,,,GP7,Jan-52,2003,1500
Landus Co-Op ,,    (formerly Farmers Co-Op),,Bayard,,Railway St & Main St.,  (712) 651-2081,,,,30543,SW1200,-65,,1200
MidAmerica Energy  â€“  Riverside Generating Station       ,,(formerly Iowa-Illinois Gas & Electric Co.),,Bettendorf,,"206 E.  2nd St.    (P.O. Box 4350, 52722)",,,,,31689,GE 45ton,Nov-52,,
MidAmerica Energy  â€“  Riverside Generating Station       ,,(formerly Iowa-Illinois Gas & Electric Co.),,Bettendorf,,"206 E.  2nd St.    (P.O. Box 4350, 52722)",,,,,29014,GE 45ton,Nov-48,,
Landus Cooperative,,  (formerly Farmers Co-Op of Farnhamville ),,,,"2290 Grant Ave,.50423      (W ofï¿½)    ",  [ (641) 843-3813],,,,19804,Plymouth 35ton ML,Nov-38,,
Agri Grain Marketing ,,(formerly Cargill),,Buffalo,,"1657 W Front St., 52728               ", [(563) 381-1788],,,,12983,GE 45ton,Jan-41,,
Continental Cement Co.,(subs Summit Materials),(formerly LaFarge Corp.  ),,,,"301 Front St.      (off Highway 22)      (P.O. Box 4049, 52808) ",   [(319) 323-2751],,,,24977,SW900,-58,1994,900
Continental Cement Co.,(subs Summit Materials),(formerly LaFarge Corp.  ),,,,"301 Front St.      (off Highway 22)      (P.O. Box 4049, 52808) ",   [(319) 323-2751],RLCX 919,RLCX,919,24486,SW900,-58,,900
Burlington River Terminal,,,,Burlington,,"100 S. Front St., 52601   ",[(319) 753-6533],,,,80055,S3,Jun-52,,
PVS Metals   ,,(formerly Paxton & Vierling Steel Co.),,Carter Lake,,"500 Ave. H     (Ave H E & N 5th St)   (P. O. Box 1085, Omaha, Ne.  68101)",,,,,15629,GE 65ton,Jun-42,,
ADM Railcar,,(formerly IEI Container Services Corp.),,Cedar Rapids,,"3150 12th St. SW, 52404      [398-7757]",,,,,,NW2 [,May-49,,
Alliant Energy   â€“  Sixth Street Station ,,"(formerly IES Utilities, Inc.)",,,,,,,,,17880,GE 65ton,Jun-43,1968,
Alliant Energy  â€“  Prairie Creek Station ,,(formerly  IES Utilities),,,,    (off C Street),,,,,18100,SW8,Apr-53,,800
Archer-Daniels-Midlands / Corn Sweetners      ,,(formerly Corn Sweetners),,,,1350 Waconia Ave. SW  52404  ,  [398-0600],,,,19643,SW900,Jun-54,1997,900
Archer-Daniels-Midlands / Corn Sweetners      ,,(formerly Corn Sweetners),,,,1350 Waconia Ave. SW  52404  ,  [398-0600],,,,14367,SW9,Jun-51,,1200
Archer-Daniels-Midlands / Corn Sweetners      ,,(formerly Corn Sweetners),,,,1350 Waconia Ave. SW  52404  ,  [398-0600],,,,20669,SW1200,Nov-55,,1200
Archer-Daniels-Midlands / Corn Sweetners      ,,(formerly Corn Sweetners),,,,1350 Waconia Ave. SW  52404  ,  [398-0600],,,,,genset locomotive,,,
Archer-Daniels-Midlands / Corn Sweetners      ,,(formerly Corn Sweetners),,,,1350 Waconia Ave. SW  52404  ,  [398-0600],,,,,genset locomotive,,,
Archer-Daniels-Midlands / Corn Sweetners      ,,(formerly Corn Sweetners),,,,1350 Waconia Ave. SW  52404  ,  [398-0600],,,,,SW14,,,1000
Quaker Oats Co.,,,,,,418 2th St NE  52401  , [362-3121],,,,14501,SW9,May-51,,1200
Valero Renewables,,,ethanol,Charles City,,"1787 Quarry Rd., 50616",(641) 715-3000,NREX 1455,NREX,1455,14373,SW9,Jul-51,2017,1200
Consolidated Grain & Barge,,(formerly Ag Products Terminal Co.),,Clayton,,,,,,,19641,SW900,Jun-54,1992,900
Pine Lake Corn Processors,,,ethanol,Cleves / Steamboat Rock,,"33371 170th St  (just off US 20, s/w of Cleves",  (641) 868-2676,,,,,SW1200RS,-56,2008,1200
ADM / Archer-Daniels-Midland â€“ Corn Sweetners      ,,(formerly Clinton Corn Processors),(corn processing plant) ,Clinton,,"1251 Beaver Channel Parkway, 52732 ",   [(319) 242-1121],,,,74762,MP15,Feb-75,2016,
ADM / Archer-Daniels-Midland â€“ Corn Sweetners      ,,(formerly Clinton Corn Processors),(corn processing plant) ,Clinton,,"1251 Beaver Channel Parkway, 52732 ",   [(319) 242-1121],,,,,GP9,-59,,1750
ADM / Archer-Daniels-Midland â€“ Corn Sweetners      ,,(formerly Clinton Corn Processors),(corn processing plant) ,Clinton,,"1251 Beaver Channel Parkway, 52732 ",   [(319) 242-1121],,,,22802,GP9,May-57,,1750
ADM / Archer-Daniels-Midland â€“ Corn Sweetners      ,,(formerly Clinton Corn Processors),(corn processing plant) ,Clinton,,"1251 Beaver Channel Parkway, 52732 ",   [(319) 242-1121],,,,25737,GP18,Feb-60,1996,1800
ADM / Gromark    ,,, (barge terminal),,,"1811 S. 4th St., 52732        ", [(319) 242-5251],,,,11167,SW9,Jun-52,,1200
ADM / Gromark    ,,, (barge terminal),,,"1811 S. 4th St., 52732        ", [(319) 242-5251],,,,11649,SW7u,Oct-50,,
Alter Metal Recycling,,,(scrap),Council Bluffs,,"2609 9th Ave., 51501      ", [(712) 328-2601],,,,16826,SW8,Nov-52,,800
Alter Metal Recycling,,,(scrap),Council Bluffs,,"2609 9th Ave., 51501      ", [(712) 328-2601],,,,18716,GP7,Oct-53,,1500
Bunge Corp.,,,,,,"19560 Bunge Ave., 51503  (~8 M SSE of...)",(712) 366-3600,,,,,S2,,,
Heartland Co-Operative - Council Bluffs,,"Cargill, Inc.",,,,River Road,,,,,28750,SW1200,-64,,1200
MidAmerica Energy  -  Lake Manawa Plant         ,,(formerly Iowa Power Inc.),,,," (head office:  P.O. Box 657, Des moines, Ia.  50303)",,,,,,Plymouth 45ton DE,Aug-53,,
Southwest Iowa Renewable Energy / SIRE,,,ethanol,,,"10868 189th St., 51503",(712) 366-0392,,,,,r/p SW?,,,
Gavilon,,(formerly Debruce Grain),,Creston,,,,,,,18297,SW9,Jun-53,2000,1200
Gavilon,,(formerly Debruce Grain),,Creston,,,,,,,15620,SD9,Jun-52,2003,1750
Gavilon,,(formerly Debruce Grain),,Creston,,,,,,,,SD9,,2003,1750
Alter Trading. ,,, (scrap),Davenport,,"514 S. Howell St., 52802  ",  [(319) 323-3601],,,,23564,GP9,,,1750
Anderson Ethanol,,(formerly Amaizing Energy),,Denison,,"2404 Lincoln Hwy. (US 30), 51442",  (712) 263-2896,,,,24150,SW1200,-57,,1200
Archer-Daniels-Midland Milling ,,(formerly A. E. Staley),,Des Moines,,"1925 E. Grand Ave., 50316   ", [(515) 266-2156],,,,27147,SW1200,Feb-62,,1200
Heartland Co-Op,,(formerly Agri Ind.),,,,124 SE 18th St.          , [(515) 262-2522],,,,30745,SW1200,Jan-65,2016,1200
Gavilon ,,(formerly Peavey Grain),grain elevator,Dubuque,,635 E Commercial St.  (E 7th & Commerce)     ,  [(563) 556-4245],,,,15007,SW8,May-51,,800
AGP / Ag Processing Inc.,,(Formerly Boone Valley Co-Op Processing),,Eagle Grove,,"500 N. Commercial St.              (P.O. Box 85, 50533) ",  [(515) 448-4711],,,,18250,GP7,May-53,,1500
Alter Metal Recycling,,(formerly Behr Iron & Metal),,Emory  (Mason City),,12050 W. State St.,  (641) 424-9521,,,,15736,GE 65ton,Dec-42,,
Innovative Ag Services,,(formerly Prairie Land Co-Op),,Garden City,,"31578 CR 27 S, 50102                ", [(515) 893-2252],,,,,SW1,Jun-40,1995,600
Innovative Ag Services,,(formerly Prairie Land Co-Op),,Garden City,,"31578 CR 27 S, 50102                ", [(515) 893-2252],,,,13132,SW9,Feb-51,2004,1200
Innovative Ag Services,,(formerly Prairie Land Co-Op),,Garden City,,"31578 CR 27 S, 50102                ", [(515) 893-2252],,,,25303,GP9,-59,,1750
Landus Cooperative,,,,Greene,,,,,,,10189,GP7,Jun-50,,1500
Bartlett & Co.,,,grain elevator,Hamburg,,"408 Washington St., 51640",,,,,18896,GP7,-53,,1500
"Ag Partners, LLC   ",, (formerly Albert City Elevator Co.),,Hartley,,"3232 Van Buren Ave   (P.O. Box 154, 51346)              ", [(712) 728-2382],,,,23475,SW900,Jun-57,1983,900
Valero Renewables,,formerly Verasun,ethanol,,,3260 Van Buren Ave,,,,,33985,SW1500,-68,2008,1500
"Floyd Valley Grain, LLC   ",(j/v Farmers Co-Op and AGP),,,Hinton,,,,,,,25599,SD24d,-59,2003,
"Floyd Valley Grain, LLC   ",(j/v Farmers Co-Op and AGP),,,Hinton,,,,,,,25621,SD24d,Nov-59,2003,
Landus Cooperative,,  (formerly Farmers Cooperative),,Ida Grove,,1st St.,,,,,24033,SW1200,Jan-58,2004,1200
Landus Cooperative,,  (formerly Farmers Cooperative),,Ida Grove,,1st St.,,,,,30541,SW1200,-65,2004,1200
"Cargill, Inc.",,,,Iowa Falls,,"602 Industrial Park Rd., 50126     ",  [(648-6343],,,,20385,SW900,-55,2017,900
Landus Cooperative,,(formerly West Central Co-Op Co.),,Jordan / Boone,,"1095 T Ave., Boone, Ia., 50036",,,,,,Plymouth 45ton MDT,Sep-79,,
Landus Cooperative,,(formerly West Central Co-Op Co.),,Jordan / Boone,,"1095 T Ave., Boone, Ia., 50036",,,,,16389,GP7,Aug-52,,1500
Union Electric Co. â€“  Keokuk Plant,,,,,,"   (moves supplies over dam from Hamilton, Il. to midstream powerhouse)",,,,,,American Car box motor,-17,,
New Co-Op,,,,Knierim,,,,,,,18786,SW8,Oct-53,,800
Valero,,(formerly Green Plains Inc.),ethanol,Lakota,,"  1660 428th St., 50451    (3 mi. W of ... near US 169)",  (515) 886-2222,,,,30248,SW1200,Jul-65,,1200
Lehigh Portland Cement   ,,, (cement plant),Mason City,,"700 25th NW   (RR 1, Box 200  50401)  ",  [(515) 421-3400],ISLX 913,ISLX,913,20396,SW9,-55,,1200
Flint Hills Resources,,"(formerly Hawkeye, LLC)",ethanol,Menlo,,"3363 Talon Ave., 50164",  (641) 524-5612,CITX 3110,CITX,3110,31531,SD40,Apr-66,2021,3000
Bayer Crop Science,,  (formerly Monsanto Chemical),,,,"2500 Wiggins RdRR 5, Muscatine, IA 52761                             ", [(9730 254-5000],Savage 1360,Savage,1360,,SW1200RS,-60,2004,1200
Bayer Crop Science,,  (formerly Monsanto Chemical),,,,"2500 Wiggins RdRR 5, Muscatine, IA 52761                             ", [(9730 254-5000],Savage 7312,Savage,7312,,SW1200RSm,-57,2005,
Grain Processing Corp.,(subs. Kent Corp.),,corn processing,,,"1600 Oregon St., 52761",,,,,22284,GP9,Jan-57,2013,1750
Union Tank Car  ,,(formerly Lithcote),,,,"2603 Industrial Connector, 52761   ", [(319) 264-0100],,,,,Plymouth JLB/2,Aug-41,,
Key Cooperative,,(foermly Heart of Iowa Cooperative ),,Nevada,,"22703 660th Ave., 50201                                   ",  [(515) 382-5461],,,,,TR2A,Aug-49,1996,
"Lincolnway Energy, LLC",,,ethanol,,,"59511W Lincoln Hwy., 50201",,,,,23548,GP9,,2013,1750
Key Cooperative,,,,Newton,,"3300 E 28th St N, 50208",(641) 792-1940,,,,19486,SW1200,Feb-54,2013,1200
Transco Railway Products,,,,Oelwin,,"700 6th Street NW   (P. O. Box 112, 50662)  ",  [(319) 283-5291],,,,,SW1,Jul-49,,600
Transco Railway Products,,,,Oelwin,,"700 6th Street NW   (P. O. Box 112, 50662)  ",  [(319) 283-5291],,,,,SW1,Apr-48,,600
Cargill Seed Sales,,(formerly Langren Grain),,Onawa,,9th & Emerald,(712) 423-1521,,,,,Vulcan 20ton,Feb-42,,
"Northern Ag Service, Inc.",,(formerly Cargill Seed Sales),,,,9th & Emerald,(712)423-1521,,,,,Vulcan 20ton,Feb-42,,
Heartland Cooperative,,(formerly Central Cooperative),,Pickering (siding),,"3111 290th St, Gilman, Ia., 50106  (~2 mi E of Ferguson / ~9 mi. SE of Marshalltown)",,,,,23506,GP9,Aug-57,,1750
Heartland Cooperative,,(formerly Central Cooperative),,Pickering (siding),,"3111 290th St, Gilman, Ia., 50106  (~2 mi E of Ferguson / ~9 mi. SE of Marshalltown)",,,,,,CF7 Ex MJRX #201,,,
Landus Cooperative,,  (formerly Countrywide Grain Terminal),,Pleasant Hill        (Des Moines),,"1700 S Pleasant Hill Blvd., (Des Moines), Ia.                            ", [(515) 263-9813],,,,18728,GP7,Oct-53,2000,1500
AGP / Ag Processing Inc.,,,,Port Neal    (Seargent Bluff),,"2753 Port Neal Rd., 51054      (P.O. Box 200, Seargents Bluff, Ia., 51054)         ", [(712) 943-4282],,,,16190,SW8,Feb-53,,800
"CF Ind., Inc.",,(formerly Terra International Chemicals),,Port Neal  (Seargent Bluff),,"CF Industries Dr.   (off 260th St., off Port Neal Rd. - ~ 6 mi. S of Seargent Bluff)",,,,,32403,GE 45ton,Nov-55,1974,
Landus Cooperative,,(formerly Farmers Cooperative),,Rake,,"3771   500 St., 50465                          ",  [(641) 566-3660],,,,30024,SW1200,Jan-65,1995,1200
Landus CoOp,,  (formerly West Central Co-Op Co.),,Ralston,,406 1st St.  51459  ,  [(712) 792-2985],,,,,Plymouth 45ton MDT,May-74,,
Landus CoOp,,  (formerly West Central Co-Op Co.),,Ralston,,406 1st St.  51459  ,  [(712) 792-2985],,,,,Plymouth 65ton CR8,Dec-81,,
"New Cooperative, Inc.",,,,Roelyn / Moorland,,"Carter Ave@ D36         (1208 Main St, Moorland, Ia., 50566)",,,,,14101,SW9,Mar-51,2004,1200
"L.G. Everist, Inc.",,,(sand & gravel),Sioux City,,"8440 Gibbs Rd., 66111     ",(913) 422-0004,,,,,SW8m,Dec-52,,
Transco    ,,, (formerly Trinity Railcar),,,733 Cuningham Dr.     ,  [(712) 233-2696],,,,32238,GE 25ton,Feb-55,1995,
Transco    ,,, (formerly Trinity Railcar),,,733 Cuningham Dr.     ,  [(712) 233-2696],,,,76143,BLH/Whitcomb 50ton S3,Mar-56,,
Western Iowa Co-Op,,,,Sloan,,"   Hwy 75, 51055",,,,,25149,GP9,-59,,1750
Landus CoOperative,,  (formerly West Central Co-Op Co.),grain elevator,Templeton,,,,,,,17612,GP7,-52,,1500
UTLX,,(formerly GE Railcar Service),,Waterloo,,"200 Nevada, 50703      ", [(319) 234-9023],GMTX 704,GMTX,704,19528,SW900,-54,,900
Continental Cement Co.   ,(subs Summit Materials),(formerly Lafarge Corp.),(cement terminal)      ,West Des Moines,,1200 Railroad Ave.      ,  [(515) 225-7171],,,,39023,GE 45ton,Apr-75,,
Gerdau Ameristeel,,(formerly North Star Steel  Iowa ),,Wilton,,"Greens Road     (P.O. Box 749, 52778)           ", [(563) 732-3231],,,,,NW2m [,May-49,1993,
Gerdau Ameristeel,,(formerly North Star Steel  Iowa ),,Wilton,,"Greens Road     (P.O. Box 749, 52778)           ", [(563) 732-3231],MDLX 751,MDLX,751,29244,SW1200,Jul-64,,1200
Landus Co-Op,,(formerly Farmers Cooperative),,Yetter,,Durant Ave. (CR D53),  (712) 464-3688,,,,,SD40-2,Jul-68,,3000
General Mills   ,,,,Bliss,Id,"805 Highway 26, 83314                                 ",   [(208) 352-4411],,,,22865,GP9,Jan-57,,1750
The Andersons,,(formerly General Mills),,,,"805 Highway 26, 83314                                 ",   [(208) 352-4411],,,,22865,GP9,Jan-57,,1750
Boise Locomotive Co.  ,(subs. MPI)     , (formerly Morrison-Knudsen),,Boise,Id.,,,,,,,SW1,Oct-41,,600
Itafos,,"(formerly Nu West, Ind. / Agrium )",,Conda  (Soda Springs),,   (12 mile line from open pit phosphate mine to end of UP Dry Valley line),,,,,,SW1,Mar-40,,600
Simplot,,,,Don    (Pocatello),,"1150 Hwy. 30 W, 83204      (W. of Pocatello on UP)    ",  [(208) 232-6620],,,,13212,SW9,Aug-51,,1200
Simplot,,,,Don    (Pocatello),,"1150 Hwy. 30 W, 83204      (W. of Pocatello on UP)    ",  [(208) 232-6620],,,,,SW1200RS,,,1200
Simplot,,,,Don    (Pocatello),,"1150 Hwy. 30 W, 83204      (W. of Pocatello on UP)    ",  [(208) 232-6620],JSRX 1820,JSRX,1820,13212,SW9,Aug-51,,1200
Simplot,,,,Don    (Pocatello),,"1150 Hwy. 30 W, 83204      (W. of Pocatello on UP)    ",  [(208) 232-6620],JSRX 2022,JSRX,2022,22759,SW1200,-57,,1200
J.D. Heiskell & Co.,,,grain elevator,Gooding,,"11711 S 2300 E, 83330",  (208) 536-2438,,,,,SD40-2d,Feb-72,,
Scoular,,,,Jerome,,"529 E Ave. T, 83338    ",(208) 324-0147,ISLX 13,ISLX,13,13577,SW1,Mar-51,,600
Amalgamated Sugar Co.,,,,McMillan   (Twin Falls),,"   Orchard Dr.      (s/e of Twin Falls)   (P.O. Box 120, 83303]     ", [(208) 733-4104],,,,30409,GE 25ton,Jul-49,,
Amalgamated Sugar Co.,,,,McMillan   (Twin Falls),,"   Orchard Dr.      (s/e of Twin Falls)   (P.O. Box 120, 83303]     ", [(208) 733-4104],,,,15167,GE 65ton,Mar-42,,
Amalgamated Sugar Co.,,,,McMillan   (Twin Falls),,"   Orchard Dr.      (s/e of Twin Falls)   (P.O. Box 120, 83303]     ", [(208) 733-4104],,,,32733,GE 65ton,Dec-56,2004,
Amalgamated Sugar Co.,,,,McMillan   (Twin Falls),,"   Orchard Dr.      (s/e of Twin Falls)   (P.O. Box 120, 83303]     ", [(208) 733-4104],DLCX 24,DLCX,24,,SW1200RS,Aug-57,,1200
Amalgamated Sugar Co.,,,,Nampa,,"138 W. Karcher Ave.   (P.O. Box 87, 83653]",,,,,17999,GE 65ton,Aug-43,,
Amalgamated Sugar Co.,,,,Nampa,,"138 W. Karcher Ave.   (P.O. Box 87, 83653]",,,,,29853,GE 25ton,Aug-48,,
Amalgamated Sugar Co.,,,,Nampa,,"138 W. Karcher Ave.   (P.O. Box 87, 83653]",,,,,,Porter 65ton,Apr-43,1964,
Amalgamated Sugar Co.,,,,Nampa,,"138 W. Karcher Ave.   (P.O. Box 87, 83653]",,,,,31339,GE 80ton,Apr-52,1993,
Amalgamated Sugar Co. - Mini-Cassia Factory,,,,Paul,,"475 W. 50 S     (P.O. Box 700, 83347)       ", [(208) 438-2115],,,,30411,GE 25ton,Jul-49,,
Gateway West Industrial Center     ,,(formerly Pafco),,Pocatello,,"669 W Quinn Rd., 83202",(208) 237-0046 ,,,,32735,GE 80ton,Dec-56,1979,
Chicago Coke Co.,,(formerly LTV - Chicago Coke Plant),,Chicago,,"11400 S. Burley Ave., 60617",,,,,,SW1200RS,-56,2004,1200
Chicago Coke Co.,,(formerly LTV - Chicago Coke Plant),,Chicago,,"11400 S. Burley Ave., 60617",,,,,,SW1200RS,Mar-57,2004,1200
Equistar Chemical,(subs.  Lyondell Basell),(formerly  Lyondell Petrochemicals),,,,8805 Tabler Rd,,SGS 1221,SGS,1221,,SW1200RS,-58,2016,1200
