,company name,affiliation,former ID,ind,city,state,address / directions,Phone #,locomotive serial number,locomotive model,Manufactured Date(MM/YY),locomotives
1449,"Green Plains Energy, LLC",,(formerly Abengoa Bioenergy),ethanol,Abee / Mount Vernon,In.,"8999 W Franklin Rd., 47620  (~8mi. E of Mount Vernon)",(812) 985-0196,20409,SW900,-55,
1451,ADM - Beech Grove,,(formerly Countrymark),grain elevator,Beech Grove / Indianapolis,,1901 S. Sherman Dr. 46203  (S. Sherman & E. Raymond)           ,  [(317) 784-2200 ],72679,SW1001,2-73,
1453,ADM Milling Co.,,,flour mill,,,854 Bethel Ave.,,24975,SW900,-58,
1454,ADM Milling Co.,,,flour mill,,,854 Bethel Ave.,,21222,GP9,7-56,
1457,"United Feeds / ADM Countrymark, Inc.",,,,Brookston,,N. Wood  St.,(765) 563-3181,32699,GE 45ton,9-56,
1458,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],14106,SW9,3-51,
1459,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],18710,SW9,9-53,
1460,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],16332,SW9,9-52,
1461,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],16336,SW9,9-52,
1462,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],24063,SW1200,9-57,
1463,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],30640,SW1200,9-65,
1464,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],30641,SW1200,9-65,
1465,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],23452,SW900,5-59,
1466,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],23455,SW900,6-59,
1467,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],23456,SW900,6-59,
1468,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],23459,SW900,8-59,
1469,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],23460,SW900,10-59,
1470,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],23463,SW900,11-59,
1471,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],24978,SW900,-58,
1472,Mittal Steel USA,,(formerly ISG  –  Burns Harbor Plant),,Burns Harbor,,"    US 12     (P.O. Box 248, Chesterton, In., 46304)   ",     [(219) 787-2120],,SW1200,-54,
1478,Steel Dynamics Inc.,,,steel coils,Butler,,"4500  CR 59, 46721     (~3 mi. SW of ...)", [(219) 868-8000],20990,GP9,3-56,
1479,Gavion Grain,,(formerly ConAgra Inc.),,Carlisle,,,,35354,GE 50ton EC,12-64,
1480,Duke Energy  -  Cayuga Power Station ,, (formerly Cinergy),,Cayuga,,"SR 63 N       (P.O. Box 188, 47928)              ", [(317) 492-3301],34026,SW1000,6-69,
1481,Mid America Rail Storage,,,,Charleston,,,,19514,SW600,3-54,
1483,DTE Services,,,(railcar repair),Clinton,,,,28370,GE 45ton,1-47,
1484,Eli Lilly,,,,,,"SR 63, 47842     ", [(317) 832-4400],,SW900,-54,
1486,Andersons (The)       ,,,(grain),,,"3324 County Rd. 300 S, 46947    ", [(219) 722-2626],11241,GP9,2-51,
1495,Nucor Steel – Indiana,,,,Crawfordsville,,"400 East 400 South /NucorRd.        (Rural Route 2, Box 311, 47933 )    (S/E of...)        ",[(765) 364-1323],19488,SW1200,2-54,
1496,Nucor Steel – Indiana,,,,Crawfordsville,,"400 East 400 South /NucorRd.        (Rural Route 2, Box 311, 47933 )    (S/E of...)        ",[(765) 364-1323],22908,SW1200,3-57,
1497,Nucor Steel – Indiana,,,,Crawfordsville,,"400 East 400 South /NucorRd.        (Rural Route 2, Box 311, 47933 )    (S/E of...)        ",[(765) 364-1323],19539,SW1200,8-54,
1498,Nucor Steel – Indiana,,,,Crawfordsville,,"400 East 400 South /NucorRd.        (Rural Route 2, Box 311, 47933 )    (S/E of...)        ",[(765) 364-1323],33794,SW1500,3-68,
1499,"Cargill, Inc",,,,Dana,,"225 East Briarwood Ave.,  47847                 ",  [(765) 665-3326],25369,SD24d,8-59,
1500,"Bunge North America (East), Inc.",(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101],32845,GE 35ton,3-57,
1501,"Bunge North America (East), Inc.",(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101],33112,GE 35ton,2-58,
1502,"Bunge North America (East), Inc.",(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101],,NW2,-49,
1503,"Bunge North America (East), Inc.",(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101],13706,SW1,12-50,
1504,"Bunge North America (East), Inc.",(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101],,SW1200RS,-56,
1506,"Bunge North America (East), Inc.",(subs. Eridania Berghin-say),"(formerly Central Soya Co., Inc.)",,Decatur,,"1200 N. 2nd St.,  46733  ",  [(219) 724-2101],35590,SW1500,,
1507,Andersons  (The)   ,,, (grain),Delphi,,"    (P.O. Box 338, 46923)     ",  [(317) 564-6133],,Plymouth 35ton MDT,2-54,
1508,Andersons  (The)   ,,, (grain),Delphi,,"    (P.O. Box 338, 46923)     ",  [(317) 564-6133],,Plymouth MDT,5-64,
1509,Andersons (The)  –  Redkey Grain Div.        ,,(formerly Indiana Grain Co-Op / Indiana Farm Bureau Co-Op),,Dunkirk,,"4678 S 1100 W & W 500 S, 47336     ", [(765) 768-7530],30841,GE 70ton,-51,
1513,CF Rail Services,,(formerly Hoosier Railcar ),,East Chicago,,"3915 Kennedy Ave. , 46312    (Michigan & Kennedy)                                ",[(219) 397-0057],,Plymouth 35ton MHD,9-79,
1514,CF Rail Services,,(formerly Hoosier Railcar ),,East Chicago,,"3915 Kennedy Ave. , 46312    (Michigan & Kennedy)                                ",[(219) 397-0057],31681,GE 25ton,8-52,
1515,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,32587,SW1000,12-66,
1516,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,75632,SW1001,12-75,
1517,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,71605,SW1500,1-73,
1518,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,71605,SW1500,1-73,
1519,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,30487,SW1200,6-65,
1520,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,30488,SW1200,6-65,
1521,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,30489,SW1200,6-65,
1522,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,17816,SW9,4-53,
1523,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,10769,SW7,-50,
1530,Clevaland Cliffs,,(formerly Arcelor Mittal Steel USA),,,,,,,GE 65ton,,
1533,Cleveland Cliffs,,(formerly ArcelorMittal Steel),,,,,,18295,SW8,12-53,
1535,Cleveland Cliffs,,(formerly ArcelorMittal Steel),,,,,,74627,SW1001,10-74,
1536,Cleveland Cliffs,,(formerly ArcelorMittal Steel),,,,,,74627,SW1001,11-74,
1540,Cleveland Cliffs,,(formerly ArcelorMittal Steel),,,,,,33213,SW1000,7-67,
1542,Cleveland Cliffs,,(formerly ArcelorMittal Steel),,,,,,35041,SW1000,5-69,
1543,Cleveland Cliffs,,(formerly ArcelorMittal Steel),,,,,,35042,SW1000,5-69,
1545,Indiana Harbor Coke Co.       ,(j/v Sun Oil Co. & Nipsco)  ,,(coke / cogeneration plant),,,,,15253,GE 45ton,5-42,
1548,Indiana Harbor Coke Co.       ,(j/v Sun Oil Co. & Nipsco)  ,,(coke / cogeneration plant),,,,,31306,GE 45ton,4-52,
1549,"Lakeshore Railcar Services, LLC",(subs. Patriot Rail),"(forermly United Rail Service, inc.)",,,,"1150 E 145th St., 46312",(219) 398-7777,32844,GE 35ton,3-57,
1550,"Lakeshore Railcar Services, LLC",(subs. Patriot Rail),"(forermly United Rail Service, inc.)",,,,"1150 E 145th St., 46312",(219) 398-7777,30783,GE 45ton,12-50,
1551,"Lakeshore Railcar Services, LLC",(subs. Patriot Rail),"(forermly United Rail Service, inc.)",,,,"1150 E 145th St., 46312",(219) 398-7777,,GE 45ton,,
1553,Northern Indiana Dock      ,(subs. Cozzi Iron & Metal)   ,(formerly operated by M.S. Kaplan Co.),(scrap),,,3600 Canal  46312   , [(219) 398-1444],,NW2,10-47,
1555,Duke Energy  -  Gibson Generating  Station,, (formerly Cinergy),,East Mt. Carmel,,,,29374,GE 65ton,6-48,
1556,EMP Co-Op Inc.,,,,Edgerton,,,,13140,GE 45ton,7-41,
1559,ADM / Gromark - First Avenue,,(formerly Johnson Terminal),,,,Ulhorn & 1st Ave.  47708       ,       [(812) 422-1513],,Plymouth 20ton JGT,8-50,
1561,OmniSource Corp. - Plant #2       ,,(formerly Levine & Sons Scrap Brokers),(scrap yard),,,3101 Maumee Ave. 46803,,,SW1,12-41,
1562,Archer Daniels Midland      ,,(formerly A. E. Staley Manufacturing)  ,soy processing,Frankfort,,"  2191 W CR 0 N       (P.O. Box 249, 46041)                  ", (317) 654-8426,,Plymouth 45ton MDT,12-67,
1564,Archer Daniels Midland      ,,(formerly A. E. Staley Manufacturing)  ,soy processing,Frankfort,,"  2191 W CR 0 N       (P.O. Box 249, 46041)                  ", (317) 654-8426,30512,SW1200,7-65,
1567,AMG Resources,,(formerly Vulcan Materials),,Gary,,"459 Cline Ave., 46406    ",   [(219) 949-8150],41185,GE 85ton,6-81,
1568,Central Illinois Steel,,,steel distributor,,,"50 N Bridge St., 46404",(219) 882-1027  ,,SW8/900 [Ex USS - Gary Works #47,,
1569,Katoen Natie Midwest,,,bulk transloading),,,700 Chase St.            ,      [(219) 949-2620],19182,GP9,3-54,
1570,"Tube City, Inc.  ",,,(scrap),,,1 North Broadway   (inside USS - Gary Works)       , [(219) 881-0144),,SW1200,,
1572,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],24577,SW900,4-58,
1573,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],24578,SW900,4-58,
1574,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],24731,SW900,6-58,
1575,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],14282,SW8,6-51,
1576,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],13513,SW8,12-50,
1577,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,SW1,1-41,
1578,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],23362,SW1200,5-57,
1581,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],23986,SW900,12-57,
1583,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],13857,SW8,2-51,
1584,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],13859,SW8,3-51,
1585,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],25446,SW900,8-59,
1586,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],16691,SW8,3-52,
1587,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],14665,SW8,9-51,
1588,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],18866,SW8,11-53,
1589,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],20633,SW900,8-55,
1590,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],35992,SW1001,3-70,
1591,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],35993,SW1001,3-70,
1592,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],36878,SW1001,1-71,
1595,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,NW2m,11-47,
1596,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],,NW2m,1-49,
1597,United States Steel  –  Gary Works,, (formerly Carnegie Illinois Steel),,,,"1 N. Broadway,  46402   ", [(219) 888-2000],24732,SW900,6-58,
1600,OmniSource Corp.,,,scrap yard,Goshen,,"812 Logan St., 46528",   (574) 534-3435,34903,GE 50ton,9-63,
1601,Starke County Co-Op,,,grain,Hamlet,,"4 Plymouth St. (Old US 30), 46532",  (574) 867-2411,20685,GP7,9-55,
1602,Buckeye Terminal,,,oil terminal,Hammond,,"2400 Michigan St., 46320",  (219) 989-8600,30743,SW1200,10-65,
1603,"Cargill, Inc.",,"(formrely Cerestar USA, Inc.)",(starch),,,"1100 Indianapolis Blvd., Hammond, Indiana, 46320,",,20416,SW1200,-55,
1617,George Pfau's Sons Inc.,,,(rendering),Jeffersonville,,"800 Wall Street    (P. O. Box 7, 47131)     ", [(812) 283-6697],,Brookville BFA,2-43,
1618,George Pfau's Sons Inc.,,,(rendering),Jeffersonville,,"800 Wall Street    (P. O. Box 7, 47131)     ", [(812) 283-6697],,Plymouth DDT Nee Hoosier Ordnance Works,,
1620,Kokomo Grain,,,,Kokomo,,1002 W. Morgan St.,(765) 457-7211,15156,GE 45ton,2-42,
1621,Kokomo Grain,,,,Kokomo,,1002 W. Morgan St.,(765) 457-7211,15861,GE 45ton,9-42,
1623,Gavilon Grain - Haw Creek,,(formerly Peavy Co.),(grain elevator),Ladoga,,11477 CR 550 E,(765) 522-1944,,SW7,-50,
1625,Eli Lilly Pharmaceutical Co.,,,,,,"1650 Lilly Rd.,  47905 ",   [(317) 477-4300],,NW2,-49,
1630,"Transco Service, Inc.",,,,Logansport,,"Woodlawn &18th    (P. O. Box 706,  46947)    ", [(219) 753-6226],28657,GE 65ton,4-47,
1633,Hoosier Energy Rural Electric Cooperative Inc.,,,,Merom,,"Hy 54 W.      (on E. shore Turtle Lake reservoir, 3 mi. E. of ...)   (head office: 7398 N  SR 37, Bloomington, In., 47404)",,41113,GE 125ton,3-80,
1635,Northern Indiana Public Service Co. (NIPSCO)  –  Michigan City Station,,,,Michigan City,,Wabash St.,,24950,GP9,-58,
1636,Northern Indiana Public Service Co. (NIPSCO)  –  Michigan City Station,,,,Michigan City,,Wabash St.,,18103,SW1,5-53,
1638,Cargill,,,grain elevator,Milford,,"13795 N 100 E, 46542  ", (574) 658-3327,18683,SD9,11-53,
1639,Lehigh Portland Cement,,,cement terminal,Mitchell,,"121 N. 1st Street     (P.O. Box 97, 47446)      ",  [(812) 849-2191],33931,GE 45ton,3-61,
1641,"Bunge North America, Inc.",(subs. Eridania Berghin-say),"( formerly Central Soya Co., Inc.)",,Morristown,,"700 N. Range Line Rd., 46161                          ", [ (765) 763-7500],,NRE 1GS7B,,
1642,"Morristown Grain Co., Inc.",,,,,,"120 East Broadway,  46161                ",  [(765) 763-1215],14066,SW8m,8-51,
1643,ADM,,"(formerly Cargill, Inc.)",,Mount Vernon,,"1000 Old Hwy 69 S, 47620    ", [(812) 838-4303],30005,SW1200,-65,
1644,Consolidated Grain & Barge,  (j/v Zen-Noh & Itochu),,,,,"Southwind Marine Centre, 47620  ",  [(812) 838-6651],14417,GP7,7-51,
1650,"Southwind Marine Centre / Indiana Port Commission     ""Southwind Shortline RR""",,,,,,"1700 Bluff Rd., 47620     ",  [(812) 838-4382],15022,SW8,5-51,
1653,Progress Rail,,,locomotive shop,Muncie,,"3500 S Cowan Rd., 47302",,35061,SW1500,2-71,
1656,Duke Energy  -  Robert A. Gallagher Plant     ,, (formerly Cinergy),,New Albany,,,,32527,GE 80ton,4-56,
1657,Cleveland Cliffs Tek & Cote,,(formerly I/NTek),(rolling mills)   ,New Carlisle,,"30755 Edison Rd., 46552      ", [(219) 654-1000],,SW1001,4-76,
1658,Cleveland Cliffs Tek & Cote,,(formerly I/NTek),(rolling mills)   ,New Carlisle,,"30755 Edison Rd., 46552      ", [(219) 654-1000],,SW1001,4-76,
1659,Cleveland Cliffs Tek & Cote,,(formerly I/NTek),(rolling mills)   ,New Carlisle,,"30755 Edison Rd., 46552      ", [(219) 654-1000],24974,SW900,-58,
1660,Viterra,,(formerly Gavilon),grain elevator,,,"54300 Walnut Road, 46552   ",   [(219) 654-3116],31372,GE 80ton,10-52,
1661,Casad Industrial Center,,,,New Haven,,"15202 Edgerton Road, 46774              ", [(219) 493-4447],,Plymouth 35ton ML,2-43,
1662,Buzzi Unicem,,(Formerly Lone Star ),(cement terminal),Osceola,,"55284 Corwin, 46561          (w. of Elkhart, off US 20)             ", [(219) 674-8873],15856,GE 25ton,10-46,
1663,Indianapolis Power & Light Co. / Ipalco    -  Petersburg Generating Plant,(subs. AES Corp.),,,Petersburg,," (office: 25 Monument Circle, Indianapolis, In.)",,,SW1001,3-82,
1664,Steel Dynamics,,(formerly Qualitech Steel),,Pittsboro,,    (W. of...),,15129,SW9,8-51,
1665,Steel Dynamics,,(formerly Qualitech Steel),,Pittsboro,,    (W. of...),,20074,SW9,11-54,
1666,"Frick Services, Inc.     ",,,(fertilizer transloading),Portage,,         (at Port of Indiana)      , [(219) 787-9475],,RS18,8-66,
1667,Indiana Pickling & Processing,,,,,,"6650 Nautical Dr, 46368  (in Port of Indiana area)     ", [(219) 787-8889],,SW1,11-39,
1668,Indiana Port Commission / Port of Indiana,,,,,,,,89033,,,
1669,Indiana Port Commission / Port of Indiana,,,,,,,,69257,HH600,,
1670,United States Steel - Midwest Plant              ,,(formerly National Steel Corp. –  Midwest Steel Div.),,,,"6300 US12, 46368                         ",     [(219) 762-3131],18101,SW1,5-53,
1671,United States Steel - Midwest Plant              ,,(formerly National Steel Corp. –  Midwest Steel Div.),,,,"6300 US12, 46368                         ",     [(219) 762-3131],,SW1,3-41,
1672,United States Steel - Midwest Plant              ,,(formerly National Steel Corp. –  Midwest Steel Div.),,,,"6300 US12, 46368                         ",     [(219) 762-3131],,NW2,11-47,
1674,Consolidated Grain & Barge,,,,,,,,17082,GP7,12-52,
1678,"West Plains Mining, LLC",,,limestone,Rich Valley,,"6181 US 24 Business, 46992",,,GP38-2,3-72,
1679,"West Plains Mining, LLC",,,limestone,Rich Valley,,"6181 US 24 Business, 46992",,,SD70MAC,11-94,
1680,Gavilon,,(formerly Peavey / ConAgra),,Roachdale,,"3237 E. SR 236, 46172        (E of...)   ", (765) 522-1944 or (888) 867-8265,19763,GP9,11-54,
1681,Co-Alliance LLP,,(formerly IMPACT Co-Op),(grain),Scircleville,,"16S CR 1100 E  (Frankfort, In 46041)",,,SW7,2-50,
1682,"ARS / Appalachian Railcar Services, LLC",(subs. Cathcart),,,Shelburn,,"8317 N US 150 / 41, 47879(between Farmersburg & Shelburn)",(812) 397-1250,,GE,,
1684,Shideler Grain Co. Inc.,,,,Shideler,,"2330 E. Ashcroft St., Eaton, 47338            ", [(765) 282-6226],27520,GE 65ton,-44,
1686,Stewart Grain,,,,"""Stewart"" (siding)",,"8217 W 300 N  (Williamsport, 47993)  (near N 800 W, ~9 m NW of Williamsport)   ",(765) 986-2254,60228,Whitcomb 45ton,12-42,
1687,Black Beauty Coal    ,,(formerly B & LS Contracting),(coal loading) ,Switz City,,      CR 475E            (2 miles E. of...),,,S2,,
1688,GATX,,,,Terre Haute,,"4400 Maple Ave., 47804",(812) 232-2682,,SW8,5-53,
1690,GATX,,,,Terre Haute,,"4400 Maple Ave., 47804",(812) 232-2682,,NW2,11-40,
1691,Gavilon,,(formerly Graham Grain Co.),,,,"200 E. Vorhees St., 47802    ",  [(812) 232-1044],,SW1,12-41,
1695,"Cargill, Inc.",,,,,,"500 E. State St. (E SR 28), 46072                  ",  [(765) 675-7581],,SW1,11-41,
1696,The Andersons ,,(formerly Erny's Fertilizer),,Walton,,"8086 CR 900 S, (Galveston, In.) 46932   (2 mi S. of...)        [(219)699-6575]",,,Plymouth CR-8 [,11-89,
1697,DTE Rail,,,(railcar repair),Wheatfield,,(at NIPSCO - Schaefer Station),,,Plymouth 20ton JDT,7-62,
1700,BP Amoco  ,,(formerly Amoco),,Whiting,,"2815 Indianapolis Blvd., 46394   ", [(219) 473-7700],,MP15,11-79,
1708,Farmway Co-Op,,,,Glen Elder,,Mill St.,,29721,GP35,2-65,
1711,Arkalon Energy,,,ethanol,Liberal / Arkalon,,"8664 Road P, 67901     (~5 mi. NE of..., off US 54)",(620) 624-8088,,SW1,2-39,
1713,Great Plains Industrial Park,,,industrial park / car storage,Parsons,,23050 Scott Rd. (on former Ks. Army Ammunition Plant site)  (S/W of Parsons),(620) 421-1228,20065,SW1200,10-54,
1714,Scoular Grain,,,ethanol,Pratt,,10333 SE 30th St  (a.k.a Sidell Rd)   (4 mi. N of...),,25658,SD24d,-60,
1717,Flint Hills Grain,(j/v Gavilon Group & Ks Coop AgMark),(formerly De Bruce Grain Inc.),,Abilene,Ks.,"513 West 1st St.,  67410                ", [(785) 263-7275],22296,GP9,1-57,
1718,"Inter-Rail Transport of Kansas City, LLC",,,contract switching ,Argentine / Kansas City,,"301 S 51st St, K.C., 66106    (serves BNSF  Automotive Yard and adjacent warehouses)",(913) 551-4556,,GP9,1-57,
1719,"Inter-Rail Transport of Kansas City, LLC",,,contract switching ,Argentine / Kansas City,,"301 S 51st St, K.C., 66106    (serves BNSF  Automotive Yard and adjacent warehouses)",(913) 551-4556,,S2,,
1720,Farmway Coop inc.,,(formerly Hansen Mueller),grain elevator,Belleville,,"1220 O St., 66935    ",[(785) 527-5013],18355,SW8,-53,
1722,Northern Sun Div. ADM,,,,Caruso   (Goodland),,6425 Rd 14     (~4 mi. W. of Goodland on old US24),,29355,GE 25ton,3-48,
1723,Northern Sun Div. ADM,,,,Caruso   (Goodland),,6425 Rd 14     (~4 mi. W. of Goodland on old US24),,18351,SW8,-53,
1724,Ash Grove Cement,,,,Chanute,,                 (office: N. Santa Fe St.  66720)   ,  [(316) 431-4500],41151,GE 110ton,1-80,
1725,Ash Grove Cement,,,,Chanute,,                 (office: N. Santa Fe St.  66720)   ,  [(316) 431-4500],41136,GE 110ton,8-79,
1726,Ash Grove Cement,,,,Chanute,,                 (office: N. Santa Fe St.  66720)   ,  [(316) 431-4500],41186,GE 110ton,5-81,
1728,GBW Railcar Service,,(formerly Watco),railcar repair,Coffeyville,,1604  S Spruce St.,(844) 364-7403,14009,GP7,3-51,
1731,Cornerstone Ag LLC,,,,Colby,,"  2148 CR Q, 67701       (~ 4 mi. SE of Colby)",(785) 462-3354,23124,GP9,5-57,
1733,"Agmark / Concordia Terminal, LLC",,,,Concordia,,"1111 W 4th St., 66901",(785) 243-1797,22881,GP9m,3-57,
1734,Scoular,,,,Coolidge,,"12501 W US 50 Scenic, 67836",(620) 372-8611,27600,SD18,-63,
1735,Barlett Grain - Great Bend,Ks.,,,Dartmouth / Great Bend,,"16 NE 60 Ave., Great Bend, 67530",(620) 792-0526,18555,GP7,-53,
1736,ADM Milling,,,,Dodge City,,"1901 E Wyatt Earp Blvd., 67801",(620) 227-8101,15691,GP7,-51,
1739,Alliance Ag & Grain  –  Wilroads Elevator,,(formerly Right Cooperative Elevator Association),,,,"Lariat Rd.    (s/e of Dodge City on ex-FDC&B)  (locomotives kept at Sunnyside Ave and Sycamore St)  (operates from Dodge City to Wilroads, ~ 6 mi.)        ", [(620) 227-6651],21475,SW1200,2-56,
1740,Alliance Ag & Grain  –  Wilroads Elevator,,(formerly Right Cooperative Elevator Association),,,,"Lariat Rd.    (s/e of Dodge City on ex-FDC&B)  (locomotives kept at Sunnyside Ave and Sycamore St)  (operates from Dodge City to Wilroads, ~ 6 mi.)        ", [(620) 227-6651],11117,GP7,3-50,
1742,Logistics Park Kansas City,,,intermodal facility,Edgerton,,"32880 W 191st St., 66021  (between Garner and Edgerton)",(816) 888-7872,73748,SD40-2,2-74,
1743,Logistics Park Kansas City,,,intermodal facility,Edgerton,,"32880 W 191st St., 66021  (between Garner and Edgerton)",(816) 888-7872,,SD40-2,,
1744,In-Terminal Services / ITSX – BNSF Intermodal Terminal,,,,Edgerton / Gardner,,"32880 W 191st St, 66021  (~2 mi NE of Edgerton)",,73748,SD40-2,2-74,
1745,In-Terminal Services / ITSX – BNSF Intermodal Terminal,,,,Edgerton / Gardner,,"32880 W 191st St, 66021  (~2 mi NE of Edgerton)",,,SD40-2,6-79,
1746,Kaw Valley Asphalt & Concrete Recycling / Mississippi Lime,,(formerly L. G. Everist),,Edwardsville / Kansas City,,"8440 Gibbs Rd., 66111",  (913) 422-6950,73635,SW1500 [r/b ?],12-73,
1747,HollyFrontier El Dorado Refining LLC,,,,El Dorado,,"1401 Douglas St., 67042",(316) 321-2200,24372,GP9 [,-58,
1751,Dodge City Cooperative Exchange,,,,Ensign,,,,18562,GP7,-53,
1752, Bartlett – Fairfax Elevator,(subs. Savage),(formerly Farmland Industries     ),,Fairfax  (Kansas City),,"940 Kindlerberger Rd., 66115",(913) 321-1696,15250,GP7,-51,
1753,Rail Car Services      ,,(formerly Continental Grain),(railcar repair)           ,,,"1100 Sunshine Rd.        (P.O. Box 15312, 66115)       ",  [(913) 621-3570],,Plymouth JDT,2-66,
