company name,affiliation,former ID,ind,city,state,address / directions,Phone #,locomotive number,locomotive model,Manufactured Date(MM/YY),locomotives
Power Mountain Coal Co.,(subs. Massey Energy Corp.) ,(formerly HPM Corp.),,Drennen,,Jones Branch Rd.   (off Rt. 39),,;,SW9;,2/51;,"            :  SW9    (14110, 6244-2, 2-51)  Ex HPM Coal  (same), exx Bethleham Mines  (same), exxx Conemaugh & Black Lick #120 (2nd), exxxx Bangor & Aroostook #37, nee Pittsburgh, Chartiers & Youghiogheny #3(1st)."
Laurel Coal Corp.  –  Potomac Mine,,,,Mount Storm,,,,;,mining locomotives reported;,;,  (mining locomotives reported)
Appalachian Railcar Services,(subs. Cathcart),(at former US - DLA facility),,Point Pleasant,,Madison Ave.,,;,car mover;,;,      car mover
Ash Grove Cement,,,cement terminal,Kennewick,,"416 N Ivy St., 99336",,;,car movert;,;,      car movert
International Raw Materials Logistics,,,,Longview,,"(at Bridgview Terminal, Port of Longview)",,;,Republic RX500;,;,       :  Republic RX500       Acq. new (2024). Republic 
Ash Grove Cement,,,,Seattle,,"3801 E Marginal Way S, 98134",,;,car mover;,;,    car mover
WestRock,,(formerly Rock-Tenn),,,,"801 Portland, 98421",,;,car mover;,;,    car mover
Great Western Malting,,,,,,,,;,GE45ton;,;,   :  GE45ton  (II-C3)
NGL Energy Partners LP,,,,,,"5246 NW OldLower River Rd., 98660",,;,car mover; ,;,      car mover
Procter & Gamble Paper Products,,,,,,"501 Eastman Ave., 54302",,;,car mover;,;,          car mover
Continental Cement,(subs Summit Materials),,,La Crosse,,Bainbridge St,,;,car mover;,;,    car mover
Domtar     ,, (formerly Georgia Pacific-Nekoosa Paper ),paper,Port Edwards / Nekoosa,,"100 Wisconsin River Dr., 54469      [(715) 887-5061]",,;,car mover;,;,    car mover
Wisconsin Public Service Corp. / WPS Resources  -  Weston Power Plant,,,,,,"  (2 mi. S. of..., on US 51 Business)",,;,NRE genset;,;,     :  NRE genset
CHS,,,[barge loading],Winona,,,,;,Plymouth JDT;,;,      :  Plymouth JDT
Puma Steel,,,,Cheyenne,,1720 Pacific Ave.,,;,car mover;,;,    car mover
"""Chevron Plant""",,,,,,,,;,SW1500;,;,    :  SW1500           Nee SP.
Radius Recycling,,(formerly Schnitzer Southeast),scrap yard,,,"1301 E Gordon Ave., 31705",,;,small endcab?;,;,    small endcab ?
Schnitzer Southeast,,,scrap yard,,,"1301 E Gordon Ave., 31705",,;,small endcab?;,;,    small endcab ?
Siskin Steel & Supply Co.,(subs. Commercial Metal),,,,,1901 Riverfront Parkway       ,   [423-3671],; ,SW1; ,;,                 :  SW1                Ex Carolina Piedmont #2
Foreman Performance Chemicals,,"(formerly D.B. Western, Inc.)",formaldhyde,La Porte,,"12511 Strang Rd., 77571",  (281) 867-1330,; ,GE 45ton (IV-A);,;,        :  GE 45ton (IV-A)      Ex D.B. Foreman - Texas  (same)
"Koppers, Inc.",,,chemicals,Millington / Woodstock / Memphis,,"3450 Fite Rd., Millington, 38053",  (412) 227-2001,; ,car mover; ,;,      car mover
PSC Metals,,(formerly part of Bayou Steel Corp. – Tennessee),scrap recycling,Harriman / Rockwood,,"2408 S Roane St, 37748              ",  (865) 882-2790,; ,car mover; ,;,     car mover
Cemex,, (formerly Dixie Cement ),cement plant,Knoxville,,"6212 Cement Plant Rd., 37924      ",  [(615)  522-1171],; ,car mover; ,;,    car mover
New Columbia Joist Co.          ,,(formerly CECO) ,(steel fabricator),New Coumbia,,"(Rt. 15, Box 31, 17856)    (near I-80 & Rt. 15)     ",  [(717) 568-6761],; ,Plymouth 30ton ML;,;,        :  Plymouth 30ton ML                   Ex Ceco Corp.  (same)
Delta Steel,,,,,,"7355 Roundhouse Ln., 77078     ", (713) 635-1200,; ,car mover; ,;,     car mover
Barhnart Crane & Rigging,,,specialized heavy transport,,,"2957 Channel Ave., 38106  ", (901) 270-1236,; ,car mover; ,;,     car mover
Buzzi Unicem,,,(cement terminal),Nashville,,1818 Cement Plant Rd.     , [(615) 726-1737],; ,car mover; ,;,      car mover
Cooper Energy Services,,(formerly Cooper Bessemer Corp.),,Grove City,,"150 Lincoln Ave., 16127                        ", [(724) 458-8000],; ,GE 80ton (III); ,3/56;,"      :  GE 35ton  (III)  (32466, 3-56)  Nee Cooper Bessemer Corp.  (same)."
PennAkem,(subs. Minakem Group),"(formerly Penn Specialty Chemical, Inc.)",renewable chemicals,,,"3324 Chelsea Ave., 38108               ", [(901) 320-4000] ,; ,GE 25ton; ,1/42; ,"             :  GE 25ton  (15229, 1-42)  Ex Penn Specialty Chemical  (same), exx Q. O. Chemicals, Inc.   (same), exx Quaker Oats (same), nee Q.O. Chemical Co.  (same)"
Pictsweet LLC,,(formerly United Foods),,Bells,,"100 Dawson Ave., 38006       ", [(901) 663-2346],; ,SW900; ,/55; ,"        :  SW900  (20398, 4301-15,  -55)  Ex United Foods  (same), exx B&O #9414, nee B&O #639.  Acq. 1987."
AGC Flat Glass North America,(AGC = Ashi Glass Corp.),"AFG Industries, Inc.  ",(glass),Greenland  (Church Hill),,"   600 AFG Rd., 37642      ",(423) 229-7200,; ,car mover; ,;,      car mover
TJN Scrap  Recycling,,,scrap,Sioux Falls,,6511 E Rice St,(605) 334-7001,; ,car mover; ,;,      car mover
"Red River Energy, LLC",,,,Rosholt,,473rd Ave.,(605) 537-4550,; ,car mover; ,;,      car mover
LafargeHolcim,,,cement terminal,Surrey,,1435 2nd St SE,(701) 852-8163,; ,car mover; ,;,      carmover
Union Tank Car / UTLX Railcar Services,,,tank car repair,Galena Park,,"2011 Clinton Dr, 77547",(713) 926-6980,; ,car mover; ,;,   car mover
Mars Petcare,,,,,,"1720 Pineview Rd., 29209",(803) 695-3100,; ,car mover; ,;,      car mover
Diamond Pet Food,,,,Gaston,,"100 Woodtrail Dr., 29053",(803) 739-9072,; ,carmover; ,;,      car mover
Martin Marietta Materials - North Columbia Quarry,,,,,,370 Monticello Trail & SR 215 N,(803) 786-4510,; ,car mover; ,;,     car mover
Cargill Sweet Bran Bovina,,,,Bovina,,"856 US 60, 79009",(806) 225-4825,; ,car mover; ,;,      car mover
Cargill Meat Solutions,,,,Friona,,"1530 US 60, 79035",(806) 295-3201,; ,car mover; ,;,      car mover
Century Aluminum Co.,,(formerly Alcoa),aluminum reduction,Goose Creek,,"3575 US 52, 29461",(843) 572-3700,; ,car mover; ,;,      car mover
Michelin Starr Manufacturing,,,earthmover tires,Starr,,"1 P-9-206, Anderson, S.C.,  29626   (off Hard Hillhouse Dr.)",(864) 332-1780,; ,Republic RTX;,;,                :  Republic RTX
Omnisource,,,recycling,Spartanburg,,"7515 Asheville Hwy, 29303",(864) 503-9444,; ,car mover; ,;,      car mover
CMC Recycling,,,scrapyard,,,"249 Bronco Rd., 78409",)361) 884-4071,; ,car mover; ,;,      car mover
Vulcan Materials,,,,Pacolet,,"130 Vulcan Rd., 29372    ",[(803) 474-2231],; ,SD?; ,;,            :  SD?
Mid-South Milling Co.,,,,,,"1141 Channel Ave., 38106   9901) ",767-0071,; ,car mover; ,;,    car mover
National Gypsum Co. - Gold Bond Div.,,,,Port Gypsum  (Tawas City),,           (S. of Tawas City),,; ,GE 65ton (II-B);,01/44;,"      :  GE 65ton (II-B)  (18091, 1-44)  Ex Dragon Cement Co.  (Thomaston, Me.), exx Great Lakes Carbon #15, nee USA #7282."
United States Steel,,,,Hazel Kirk,,,,; ,"Plymouth 8ton HSD (44"" ga.); ",1/76;,"       :  Plymouth 8ton HSD (44"" ga.)  (9097, 1-76)  Acq. new."
Lehigh Specialty Melting,(subs. Whemco),(formerly Standard Steel),,Latrobe,,"107 Gertrude St., 15656    ",,; ,GE 35ton; ,11/53;,"         :  GE 35ton (III-A1)  (32147, 11-53)  Ex Standard Steel  (same), nee Alco – Spring Div.  (same)."
Solvay,,(formerly Rhodia),,,,2151 King St Extension,,; ,car mover; ,;,   car mover
Boral Cultured Stone,,,,Chester,,590 Ecology Dr,,; ,car mover; ,;,   car mover
Santee Portland Cement,,,cement import terminal,Georgetown,,Dock St.  (inside Port of Georgetown area),,; ,car mover; ,;,    car mover
LafargeHolcim,,(formerly Holcim),,Holly Hill,,Gardner Blvd.,,; ,car mover; ,;,    car mover
ADM Southern Cotton,,,,Memphis,,2800 Chelsea Ave.,,; ,car mover; ,;,   car mover
"ARS / Appalachian Railcar Services, LLC",(subs. Cathcart),,,Kingsport,,University Blvd (inside Holston  Business Park),,; ,;,;,    ???
Valero,,,refinery,,,,,; ,car mover; ,;,    car mover
Pilgrim's Pride,,,feed mill,Wauhatchie / Chattanooga,,"950 Wauhatchie Pike, Chattanooga  37419",,; ,car mover; ,;,      car mover
Instel Steel,,,,,,"11310 W Little York Rd., 77041",,; ,car mover; ,;,     car mover
Lhoist North America,,(formerly Franklin Industrial Minerals),,Crab Orchard,,"10583 Highway 70 E., 37723                         ",  [(931) 484-7578],;  3999; 4023; 3138; LNAX 3043; ,GE 92ton; B23-7; B23-7;  B23-7;  B23-7;  GP35m; ,5/62; ; 4/81; ; ; /64; ,"                : GE 92ton   (34439, 5-62)  Ex American Crystal Sugar #78  (East Grand Forks, Mn.), nee Armco #B-78  (Butler, Pa.)
  3999  :  B23-7              Ex NS #3999.
  4021  :  B23-7  (43380, 4-81)  Ex NS #4021.  Acq. 2001. 
  4023  :  B23-7                           Ex NS #4023.  Acq. 2001.
  3138  :  B23-7                           Ex CSX #3138 exx SBD #3138, exxx SCL #5149.  Acq. 2002.
(LNAX 3043)  :  GP35m   (29264, 7727-5,   -64)   Ex JLCX #3501, ex Northern Plains #3501, nee D&GRW #3033.  Acq. 2016."
Georgia Kaolin Terminals,,,,,,Foundation Rd.,,;  PWFX #099;,NW2; NW2;,3/48; 11/49;,"             :  NW2  (6337, E-998-2, 3-48)  Ex  Port Rail Services #102, nee UP #1077
   (PWFX #099)   :  NW2  (7180, E-1042-4, 11-49)  Ex Gadsden Switching Service #921   (Gadsden, Al.), exx Gulf States Steel #921  (same), exxx CR #9294, exxxx PC #8806, nee NYC #8806."
DeMilta Iron & Metal,,,,Willoughby,,,,; #4;,Plymouth ML; GE 45tom;,; ;,"     : Plymouth ML
   #4  :  GE 45tom  Ex Keokuk Fero Sil #4"
"Highlander Alloys, Inc.     ",,"(formerly American Alloys, Inc.)",,Graham Station  (New Haven),,"                            (P.O. Box 218, 25265)           ",    [(304) 882-2853],; ;,GE 65ton (II-A1); GE 80ton;,11/41; 4/52;,"           :  GE 65ton (II-A1)  (13198, 11-41)  Ex US - DLA #25439, nee USA #2  (Trans. Corps shops, Fort Benning, Ga.)  Acq. 2002.
           :  GE 80ton  (31542, 4-52)  Ex American Alloys  (same), exx Foote Minerals  (same), nee Vanadium Corp. of America  (same)."
"Ashta Chemicals, Inc.",,,,Ashtabula,,"3509 Middle Road, 44004",   (440) 997-5221,; ;,car mover; car mover;,; ;,"      car mover
      car mover"
Scoular,,,grain elevator,Adrian,Mo.,"15 Quail Run, 64720",   (816) 297-4502,; ;,car mover; SW9m;,; 12/53;,"      car mover
          :  SW9m (18839, 4216-5, 12-53)  Ex Salt Lake, Garfield & Western #DS-10, exx UP #1215, nee UP #1851.  Acq. 2020."
SNF Flopam,,,,,,26790 SR 405,  (225) 692-7100,; ;,car mover; car mover;,; ;,"      car mover
      car mover"
Drumm Inc.,(subs. International Service Corp.),,tank car cleaning,Worthington,,"1534 Joosten Rd., 56187",  (507) 372-2212,; ;,car mover; car mover;,; ;,"               carmover
               carmover"
Valley Grain,,,,Kingston,,"4 Railroad St., 45644",  (740) 642-2041,; ;,SW1200; car mover;,?/54; ;,"      :  SW1200  (20048, 4284-8,   -54)  Ex Mn Northern #1208, ex Dakota Rail #1208, ex Soo #1208, ex Milw #607, nee Milw #2055(1st).
       car mover  Acq. 2023."
ADM,,(formerly Farmland Ind.),,Hereford,,"101 S. Progressive Rd.,79045              ",  [ (806) 364-3811],; ;,NW2; car mover;,7/42; ;,"               :  NW2  (1696, 7-42)  Ex Farmland Ind., previously at Topeka, Ks., ex Ford  Motor Co. #12001  (Dearborn, Mi.), nee UP #1035.  Transferred 2000. 
     car mover"
Trans Tex  Rails    ,,,(locomotive &  car rebuilding),,,"203 Milam St., 78202   ",  [(210) 224-9080],; ;,GE 65ton (II); SW1;,; 6/40;,"            :  GE 65ton (II)
            :  SW1  (1079, 6-40)  Ex PFL Ind.  (Kirby, Tx.), exx Belton #504, nee TRRA #504.  (for sale 2025)"
Hanson       ,,"(formerly  Gifford-Hill-American, Inc.)", (concrete pipe) ,Grand Prairie,,"1004 Meyers Rd., 75050    ",  [(214) 262-3600],; ;,GE 40ton EC (III); GE 65ton (III);,1/52; 11/53;,"       :  GE 40ton EC (III)  (31198, 1-52)  Ex Gifford-Hill-American  (same), exx  Carborundum Co. #1  (Jacksboro, Tn.), exxx Granite Mountain Quarries #38  (Sweet Home, Ar.), nee Cambria Slag #38  (Johnstown, Pa.)  Acq. 1983.
         :  GE 65ton (III)  (32084, 11-53)  Ex Gifford-Hill -American  (same), exx Gifford Hill  ? Cloudy Spur Plant  (Grand Prairie, Tx.), previously at Lewisville, Ar., new at Turkey Creek Plant "" Evangeline Ry."" #651."
"M & G Polymers USA, LLC            ",,(formerly Shell Polyester  –  Pt. Pleasant Polyester Plant),,Apple Grove,,                     ,  [(304) 576-2041],; ;,SW?; SW?; ,; ;,"    :  SW?
     : SW?"
American Steel Foundries,,,,Alliance,,"1001 E. Broadway St., 44601     ",  [(330) 823-6150],; ;,GE 60ton OCC; Whitcomb 65ton;,?/41; ;,"    :  GE 60ton OCC  (15093,  -41)  Ex USA #7507, nee US - QMC #6006.  (for sale 2002)
    :  Whitcomb 65ton"
Kasgro Rail Corp.,,(formerly Itel Rail Corp.),,New Castle Jct.,,"320 E. Cherry St.      (Rundle Rd.  -  in old P&LE roundhouse)  (P. O. Box 2208, 16102)       ",  [(412) 658-9061],; ;,GE 25ton (II); GE 25ton (II); ,2/47; 2/49;,"      :  GE 25ton (II)  (28359, 2-47)  Ex Itel Railcorp  (same), exx St. Joe Minerals #5  (Monaca, Pa.), exxx U.S. Pipe & Foundry #2  (Burlington, N.J.)
      :  GE 25ton (II)  (29890,  2-49)  Ex GE #44  (Appliance Park, Ky.), nee Ballard & Ballard  (Loiosville, Ky.)"
"Globe Metallurgical, Inc.",,,,Beverly,,"1595 Sparling Rd., 45786", (740) 984-2361,; ;,[GE 35ton ?]; GE 65/80ton;,; ;,"        :  [GE 35ton ?]  O/s
        :  GE 65/80ton"
Westrock,,(formerly Stone Smurfit),,,,"115 Kentucky Ave., 35772   ", [(205) 437-2204],; ;,GE 65ton; GP?;,9/43;,"           :  GE 65ton  (18008, 9-43)  Ex Mead Corp.  (same), exx Vulcan Materials  (Elizabethport, N. J.), exxx D.C. Dept. of Corrections ""Lorton & Occoquan,"" exxxx USN #65-00240.
            :  GP?"
Evonik Ind.  ,,(formerly Degussa Corp.  ),(chemical),,,"4301 Evonik Road     (Theodore Industrial Park)     (P. O. 606, 36590)   (E. of...)   ", [(205) 653-7933],; ;,car mover; Republic RX500;,; ;,"     car mover
       :  Republic RX500"
Packaging Corp. of America    ,,"(formerly Tenneco Packaging, previously Packaging Corp of America)",,Filer City,,"2246 Udell St.  (off Filer City Rd), 49660       ", [(213) 723-9951],; ;,Plymouth 45ton MDT; car mover;,06/67; ;,"    :  Plymouth 45ton MDT  (6582, 6-67)  Acq. new.  [gone ?]
      car mover"
Holcim Inc.  ,,(formerly Holnam Inc.),(cement terminal)   ,,,"    16430 Peninsula, 77015      ", [(281) 452-3511],; ;,GE 25ton(II); Whitcomb 25ton;,7/51; 8/51;,"       :  GE 25ton (II)  (30989, 7- 51)  Ex Holnam,  (same), formerly at Deer Park, Tx., nee Ideal Cement  (Baton Rouge, La.)
       :  Whitcomb 25ton  (61183, 8-51)  Ex Holnam  (same), formerly at Deer Park, Tx., exx  Ideal Cement  (same), nee Ideal Cement  (Mobile, Al.)"
"AGP / Ag Processing, Inc.",,,,Hastings,,"2801 E. 7th St., 68901                              ", [(402) 463-5290],; ;,B23-7; Plymouth 45ton DE;,; 09/52;,"                :  B23-7
                :  Plymouth 45ton DE  [ (5627, 9-52)  Ex Cargill  (Pekin, Il.), exx Henry Fertilizer  (Henry, Il.), exxx Ohio Edison #2  (Berger plant, Dilles Bottom, Oh.), previously at Falls Sta., Akron, Oh., new at Scioto Plant, Prospect, Oh) ?]"
Koppers Ind.      ,,(formerly AT&SF tie plant),,Somerville,,"     N. Hwy. 36       (P.O. Box 189,  77879)       ", [(409) 596-1321],; ;,car mover; car mover;,; ;,"      car mover
      car mover"
BRC Rail Car Service Co.,,(formerly Rescar),,,,"702 Elk Mills Rd., 21920     ", [(410) 392-3733],; ;,GE 45ton (II); GE 65ton (II-C);,06/48; 01/48;,"            :  GE 45ton (II)  (29878, 6-48)  Ex Maryland Rail Car  (same), exx Lehigh Structural Steel #2  (Allentown, Pa.)  Acq. 1987.
           :  GE 65ton (II-C)  (29256, 1-48)  Ex Maryland Rail Car  (same), exx Westinghouse Electric #121  (Essington, Pa.), nee Wabco #4  (Wilmerding, Pa.)"
Transco Railway Service       ,,(formerly General Electric Railcar Services),,,,Schwartz Rd. & Lehman Ave.       , [(419) 727-0211],; ;,Plymouth 20ton JDT; GE 45ton;,08/52; 12/51;,"            :  Plymouth 20ton JDT  (5632, 8-52)  Formerly at Port of Brownsville, Tx., ex Texas International Ry. Service  (same), exx Wyatt Ind.  (Houston, Tx.), nee Wyatt Metal & Boiler Works #2  (same).
            :  GE 45ton  (31022, 12-51)  Ex GE Railcar  (same), exx Okonite Co.  (Providence, R.I.), nee Washburn Wire Co. #4  (same)."
"CF Industries, Inc.",,,,Donaldsonville,,"39018 Hwy 3089, 70346     ", [(504)473-8291],; ;,Republic; car mover;,; ;,"                :  Republic
       car mover"
Kentucky-Tennessee Clay Co.,(subs. Hecla Mining Co.)    ,(formerly J. M. Huber Corp.),,Langley,,"State Rt. 66    (P. O. Box 306,  29834)      ", [(803) 593-2511],; ;,GE 80ton; SW9/1200; ,12/43; ;,"      :  GE 80ton  (18069,12-43)  Ex J. M. Huber Corp.  (same), exx Alcoa #54  (Mobile, Al.), exxx Alcoa #E54  (East St. Louis, Il.)  Acq. 1982. [gone ?]
      :  SW9/1200"
"GBW Railcar Service, LLC",,(formerly Rail Car Texas),,,,"497 S Tayman St., 78226",(210) 921-1900,; ;,GE 35ton (IV-B1); GE 45ton (II-B);,6/62; ;,"       :  GE 35ton (IV-B1)  (34375, 6-62)  Ex Philadelphia Thermal Energy  (Philadelphia, Pa.), nee Atlantic City Electric  (Beesleys Point, N.J.)  Acq. 1997.
       :  GE 45ton  (II-B)  (Low-clearance cab)"
Hexion,,,,,,"8450 W Bay Rd., 77523",(281) 573-9443,; ;,car mover; SW1500;,; ;,"    car mover
            :  SW[1500 ?]"
"AC&S, Inc.",,,chemical,Nitro,,"150 Plant Rd.,       (PO Box 335, 25143)",(304) 755-9275,; ;,GE 25ton (II-C2); GE 25ton (II-C2);,4/52; 5/52;,"     :  GE 25ton (II-C2) (31558, 4-52)  Nee Weirton Steel #93.      
     :  GE 25ton (II-C2) (31564, 5-52)  Ex Central Operating Co. / AEP  (Philip Sporn Plant, Graham / New Haven, W.V.), nee GE - Lockland Plant #1  (Cincinnati, Oh.)"
Equalizer Midwest Inc.,,,fertilizer distribution terminal,Hatings,,"4955 E South St., 68901",(402) 463-3161,; ;,car mover; car mover;,; ;,"      car mover
      car mover"
GCC Three Forks,,"(formerly Holnam, Inc  / Holcim)",,Trident,,4070 Trident Rd,(406) 285-3241,; ;,car mover; car mover;,; ;,"      car mover
      car mover"
J.R. Simplot,,,port terminal,,,,(503) 286-8206,; ;,car mover; car mover;,; ;,"      car mover
     car mover"
AITX / American Industrial Transport,,(formerly American Railcar Ind.),,Brookhaven,,"113 Boyce St., 39601",(601) 384-5841,; ;,GE 45ton; car mover;,; ;,"      :  GE 45ton
      car mover"
Tyson,,(formerly IBP / Iowa Beef Processing),,Dakota City,,"5200 IBP Ave., 68731  [now Dakota Ave. ?]",(605) 235-2153,; ;,car mover; car mover;,; ;,"    car mover
    car mover"
Valero Renewables,,,ethanol,,,"3979 SR 38, 43106",(740) 437-6998,; ;,car mover; car mover;,; ;,"             car mover
             car mover"
"ARS / Appalachian Railcar Services, LLC",(subs. Cathcart),,,Shelburn,,"8317 N US 150 / 41, 47879(between Farmersburg & Shelburn)",(812) 397-1250,; ;,GE; car mover;,;;,"      :  GE  (type IV centercab)
    car mover"
"Brewer-Hendley Oil Co., Inc.",,,,North Charleston,,"1882 Milford St., 29405",(843) 209-6780,; ;,car mover; car mover;,; ;,"    car mover  
    car mover"
Mosaic  -  Plant City Phosphate Complex,,(formerly  CF Ind.),,Zephyrhills / Plant City,,"10608 Paul Buchman Hwy.  (SR 39 N), Plant City, 33565  (~4 M. S of Zephyrhills / ~8 M N of Plant City)",(863) 688-9900,; ;,car mover; GP7/9;,;;,"      car mover
    :  GP7/9"
S&P Steel Products & Services,,(formerly Tex-Tube Co.),,,,"1503 N Post Oak Rd., 77055         ",(866) 493-4611,; ;,Davenport (long o/s); car mover;,; ;,"                :  Davenport          (long o/s)
      car mover   "
Lafarge  ,,(formerly Standard Slag),,,,6205 Newton Falls Bailey Rd. SW    (W of...)       ,[(216) 393-5656],; ;,GE 100ton (IV-B1); SW9;,09/64; 01/52;,"           :  GE 100ton (IV-B1)  (35093, 9-64)  Ex Empire-Detroit Steel Div. Armco #1  (Mansfield, Oh.), nee Empire-Detroit Steel Div. Cyclops #6  (same).
           :  SW9  (15564, 6307-2, 1-52)  Ex  Caparo Steel #16  (Farrell, Pa.), exx Sharon Steel #16  (same), nee Monessen Southwestern #25."
Oxbow Carbon,,(formerly Great Lakes Carbon),(calcined coke plant),,,"2200 Brooklawn Dr., 70807        ",[(225) 358-2700],; ;,car mover; car mover;,; ;,"                 car mover
                 car mover"
Packaging Corp of America,,(formerly Boise Packaging & Newsprint),,DeRidder,,"400 Crosby Rd., 70634       ",[(318) 462-2441],; ;,SW?; GP18/20;,;;,"                        :  SW?
(Watco 2009)  :  GP18/20   [gone ?]"
Westlake Chemical,,(formerly Axiall Corp),,,,"26100 River Rd., 70764    (2 m. S/E of...)    ",[(504) 389-2500],; ;,car mover; car mover;,; ;,"
      car mover
      car mover"
Cohen Brothers Inc.,,,(scrap metal),,,"1723 Woodlawn Ave., 45044                  ",[(513) 422-3696],; ;,GE 50ton EC (III); GE 65ton;,12/59; 06/43;,"                   :  GE 50ton EC  (III)  (33142, 12-59)   Ex AK Steel #E-258  (Middletown, Oh.)
                   :  GE 65ton  (17870, 6-43)  Ex USN #65-00569, nee USA #7884.  Acq. 2004."
Tube City IMS    ,,(formerly International Mill Service Inc.),,,,"1830 Flowood Dr., 39208       ",[(601) 932-7274],; ;,GE 45ton (II-C2); Plymouth 50ton DE;,05/55; 12/50;,"      :  GE 45ton (II-C2)  (32340, 5-55)  Ex Vulcan Materials  (Kankakee, Il.), previously at Crystal Lake, Il., exx Colorado Springs - Dept. of Public Utilities #9702  (Martin Drake Power Plant, Colorado Springs, Co.), nee US Dept. of Interior - Crab Orchard National Wildlife Refuge #120  (Ordill, Il.)  Acq. 1997.  [gone ?]
                :  Plymouth 50ton DE  (5551, 12-50)  Ex Essex Wire, nee Wagner Quarries  (Sandusky, Oh.)  Acq. 2008.
      GE  35ton "
WestRock,,(formerly  Rock-Tenn Co.),(paperboard)   ,Lynchburg,,"1801 Concord Rd., 24504      ",[(804) 847-5521],; ;,"Plymouth 25ton ML6; GE 45ton (II-B2, 50t);",7/38; 11/48;,"               :  Plymouth 25ton ML6  (3965, 7-38)  Ex Mead Corp. #100  (same).
               :  GE 45ton (II-B2, 50t)  (29019, 11-48)  Ex Mead Corp.  (same), exx Whithead & Kales #1  (Detroit, Mi.), exxx Empire-Reeves Steel #L-6  (Mansfield, Oh.), nee E.I. duPont.  Acq. 1982."
"Pittsburgh Intermodal Terminals, Inc.  /  Port Ambridge Industrial Park",,,,,,"90 Century Dr.    (off Ohio River Blvd., SR 65)        ",[266-2888],; ;,GE 65ton (III-A); GE 65ton (IV);,06/51; 03/67;,"     :  GE 65ton (III-A)  (30959, 6-51)  Ex Ohio Edison #10  (Stratton, Oh.)
     :  GE 65ton (IV)  (36057, 3-67)  Ex Rexene Corp.  (Odessa, Tx.), nee A. O. Smith of Tx.  (Houston, Tx.)  Acq. 1996."
Honda,,,,Lincoln,,SR 4,,; ;,SD40-2; SD40-2;,; ;,"   :  SD40-2
   :  SD40-2"
MeadWestvaco - Mahrt Mill,,(formerly Mead Packaging),,Cottonton,,"145 SR 165 S, Cootonton, Al.  36851",,; ;,GP38; GP38;,; ;,"    :  GP38 ?
    :  GP38 ?"
Greenbrier Rail Services,,(formerly GE Capital Railcar Repair),railcar repair,Dothan,,Boxcar Lane      (off Taylor Rd.)       (s/w of ...),,; ;,GE [80?]ton; car mover;,; ;,"                :  GE  [80 ?] ton
      car mover"
Olin Chlor Alkali Products,,(formerly Pioneer Chlor Alkali),,Saint Gabriel,,"4205 SR 75, 70776",,; ;,EMD SW?; EMD SW?;,; ;,"    :  EMD  SW?
    :  EMD  SW?"
Taminco,,,chemical,,,"3790 E SR 30, 70776",,; ;,car mover; car mover;,; ;,"        car mover
        car mover"
Cargill,,,,Madison,,"Fair St., 56256",,; ;,car mover; CF7;,; ;,"      car mover
          :  CF7   [Ex Red Valley River & Western #301 ?]"
Modern Transport Terminal / Steve Kohner,,,sand transload,,,370 W 2nd St. & 780 E Front St,,; ;,Plymouth 25ton JDT; GE 80ton;,09/60; 10/46;,"      :  Plymouth 25ton JDT  (6241, 9-60)  Nee Continental grain  (Savage, Mn.)
      :  GE 80ton  (28482, 10-46)  Ex Consumers Power, nee American Viscose  (Parkersburg, W.V.)  Acq. 2012."
Doe Run Co.         ,,(formerly Amax Lead of Missouri),,Boss,,"Hwy KK, 65440",,; ;,"Plymouth 20ton JMD-24 (48"" ga.); Plymouth 20ton JMD-24 (48"" ga.);",05/80; 09/81;,"        :  Plymouth 20ton JMD-24 (48"" ga.)  (7316, 5-80)  Nee Amax Lead Co. of Missouri  (same).
        :  Plymouth 20ton JMD-24 (48"" ga.)  (7348, 9-81)  Nee Amax Lead Co. of Missouri  (same)."
Cathcarth Rail,,(formerly Andersons Rail / on old Armco Steel site),railcar repair,,,"7750 Wilson Rd., 64125",,; ;,SW9m; car mover;,06/51; ;,"     :  SW9m  (14359, 4093-7, 6-51)   Ex Anderson  (same), ex MVPX #1202, ex DOT Rail Service / Central Illinois RR #1202, ex ICG #1427, ex IC #436, nee IC #9426(1st).  Acq. c. 2012.
      car mover"
McKinley Iron Inc. / PCS Metals,,,(scrap),,,"3620 Hall St., 63147      [(314) 231-6077]",,; ;,GE 45ton (II-A3); SW1;,08/42; ;,"      :  GE 45ton (II-A3)  (15728, 8-42)  Ex ACF Ind. #1  (East St. Louis, Il.), exx USA #7935, nee Sangamon Ordnance Depot  (Illiopolis, Il.)  o/s
      :  SW1       o/s
    (uses car movers)"
Montana Limestone Co.,,,,Warren,,,,; ;,SD50F; SD50F;,; ;,"       :  SD50F            Ex DMV&W #5404, nee CN #5404.
       :  SD50F            Ex DMV&W #5438, nee CN #5438."
Goldsboro Milling Co.   ,,,(turkey feed mill) ,Radford  (Goldsboro),,"  (between Miller and Best, just E. of Goldsboro)  (P.O. Box 10009, Goldsboro, N.C., 27532)",,; ;,car mover; car mover;,; ;,"   car mover
   car mover"
International Paper,,(formerly  Federal Paperboard Corp.),papermill,Riegelwood,,,,; ;,car mover; car mover;,; ;,"                 car mover
                 car mover"
